,¹«Ë¾´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,SZ000998,55.34,51.24,50.41,27.29,51.15,50.78,54.65,54.31,53.47
1,SH600265,89.71,91.20,92.00,94.73,124.90,98.51,90.17,92.11,74.28
2,SZ002556,65.55,68.71,68.11,65.63,61.21,63.51,61.81,66.01,63.22
3,SZ002385,39.36,40.79,38.90,34.28,33.14,40.32,35.51,24.97,24.21
4,SZ000713,32.82,33.53,37.14,32.94,26.88,28.81,34.99,34.21,37.36
5,SZ002714,40.04,54.07,47.03,56.22,50.17,52.71,61.14,52.00,51.04
6,SZ002891,44.33,40.76,23.36,34.55,35.39,41.20,39.20,,
7,SH600371,31.59,34.63,33.20,40.31,40.73,49.66,61.78,56.48,58.78
8,SH600598,18.04,20.89,23.16,26.16,23.61,31.48,63.97,65.01,65.88
9,SZ000860,66.12,61.07,61.29,61.75,65.38,66.64,76.96,76.07,71.03
10,SH600354,72.09,59.94,52.91,53.94,51.51,65.52,60.06,65.00,59.44
11,SH600506,6.50,5.90,6.02,5.39,7.36,5.55,4.96,14.04,12.00
12,SH601952,22.34,18.62,20.16,34.48,40.70,48.07,52.14,60.96,
13,SH600313,31.50,32.67,40.10,37.82,32.72,26.43,25.46,29.73,21.83
14,SH603668,48.66,55.99,50.27,53.36,54.01,46.31,43.08,62.08,63.83
15,SH603336,19.24,16.32,2.81,5.33,33.46,34.66,35.61,26.52,34.81
16,SZ300189,6.89,5.94,17.31,35.36,10.05,15.24,12.98,9.53,3.52
17,SH600108,44.11,43.89,40.79,39.23,37.61,37.46,27.52,28.68,38.87
18,SZ002746,20.15,19.74,17.88,17.32,31.20,46.42,44.90,40.30,36.47
19,SZ002041,14.77,13.14,15.44,18.05,25.89,26.49,25.81,28.73,25.97
20,SZ002157,67.65,68.02,59.67,49.27,63.62,66.89,74.98,69.61,58.93
21,SH601118,40.30,32.99,40.52,40.19,36.96,25.81,23.37,17.34,17.34
22,SZ002311,48.33,52.64,48.05,43.54,37.72,42.58,44.76,50.50,38.82
23,SZ300498,28.90,34.06,31.95,24.27,29.65,37.59,46.97,36.55,36.25
24,SZ002299,30.90,44.78,50.45,45.13,49.10,63.72,58.81,47.61,26.17
25,SZ002696,52.70,37.93,35.73,41.41,43.29,41.72,29.78,26.16,47.00
26,SZ002124,61.53,61.52,31.40,42.80,42.79,67.10,66.77,55.74,54.83
27,SH600359,75.52,78.47,73.53,76.40,69.39,65.10,84.25,83.12,93.72
28,SZ002086,53.36,33.28,25.90,24.88,25.00,45.93,44.61,43.02,39.63
29,SZ002240,45.81,39.47,28.04,38.78,41.72,40.37,42.93,48.35,47.74
30,SH600076,36.82,35.22,29.75,19.25,30.63,68.42,53.00,46.55,47.51
31,SZ300094,53.62,55.49,50.44,41.25,33.24,37.62,36.78,32.41,20.29
32,SZ300106,39.50,38.50,70.45,60.55,67.79,56.83,46.36,40.31,30.72
33,SZ002200,87.77,90.24,82.81,71.01,67.92,63.23,77.27,69.14,68.33
34,SH600275,39.85,36.08,54.96,55.48,51.76,39.47,31.31,26.12,91.82
35,SZ000592,15.86,21.39,19.49,16.31,9.80,33.34,26.23,30.30,32.26
36,SZ300087,62.75,44.64,38.73,38.83,29.05,30.50,27.89,31.73,27.44
37,SZ002069,98.01,87.58,89.78,75.60,79.75,76.29,54.07,48.04,38.50
38,SZ002234,15.83,57.27,67.48,52.70,51.54,45.56,37.70,33.45,24.07
39,SZ300313,87.17,85.33,47.53,53.11,54.54,28.45,24.76,8.17,31.80
40,SH600540,60.26,75.51,75.28,78.88,57.15,58.23,67.52,66.09,74.90
41,SH600467,49.09,48.67,47.99,44.05,42.71,38.44,29.70,24.61,25.97
42,SH600257,30.28,24.58,20.51,20.34,46.98,43.37,40.86,49.29,45.96
43,SZ002679,55.05,55.38,53.48,55.82,56.20,49.64,51.57,32.75,45.62
44,SZ300262,59.80,56.82,51.48,43.37,60.86,48.91,53.14,34.75,14.84
45,SZ300761,20.33,27.12,31.09,38.92,39.01,52.48,69.25,46.09,
46,SH600097,29.41,27.80,14.67,52.43,32.64,32.02,34.44,39.76,48.73
47,SZ002321,64.01,66.96,64.34,55.98,69.09,64.58,57.56,61.52,54.08
48,SZ000798,27.78,24.44,33.20,34.87,35.68,9.30,10.25,13.45,21.27
49,SZ000663,76.56,69.97,46.75,50.01,48.69,74.17,73.38,73.98,75.09
50,SH600975,24.70,27.13,28.58,32.24,33.17,53.20,48.31,33.54,28.44
51,SZ002458,12.89,30.54,42.86,23.88,81.68,61.24,56.96,37.24,14.45
52,SZ002688,45.97,46.65,44.68,40.50,44.06,37.04,11.49,13.94,50.15
53,SZ002100,53.70,61.47,47.98,39.78,37.32,37.89,40.18,50.99,50.88
54,SZ000735,35.71,35.22,40.58,42.72,59.34,57.37,57.27,58.39,49.70
55,SH600965,22.03,26.20,23.08,32.53,19.22,24.91,23.62,28.36,24.14
56,SH603363,73.92,69.47,61.96,65.31,66.97,76.81,85.03,,
57,SZ300511,54.71,59.67,63.08,47.58,63.77,65.84,70.38,72.97,56.11
58,SZ002505,59.23,60.85,59.35,64.60,30.28,11.44,35.91,33.07,5.77
59,SZ002772,48.09,35.94,35.61,28.69,38.32,53.06,48.95,37.24,38.52
60,SZ300143,30.13,21.17,6.83,13.35,19.73,57.22,37.80,18.91,5.35
61,SH600189,70.28,53.76,57.36,64.23,68.63,63.26,58.30,55.46,50.16
62,SZ200992,18.89,22.20,30.63,22.09,25.62,27.34,23.15,22.88,23.78
