,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,姜长龙,男,,"董事长,法定代表人,董事",--,硕士,"姜长龙:男,满族,中国,研究生学历,高级工程师。历任三岔子林业局景山苗圃技术员、副主任、主任、景山林场场长,三岔子林业局营林公司经理,苏里南吉森木业有限公司副总经理,三岔子林业局副局长,中国吉林森林工业集团有限责任公司森林资源经营部部长,湾沟林业局党委书记、局长。现任本公司党委书记、董事长,中国吉林森林工业集团有限责任公司常务副总经理。"
1,王尽晖,男,,"总经理,董事",--,本科,"王尽晖:男,文学学士,高级经济师。历任吉林公安专科学校教师;吉林省化工进出口公司办公室主任、进出口部部长、副总经理、党委书记、公司法定代表人;吉林省旅游投资集团工会主席;吉林森工开发建设集团副总经理;吉林森工吉林森邦公司党委书记、总经理。现任本公司副总经理。现任本公司党委副书记、总经理、董事。"
2,安英斌,男,,副总经理,--,高中,"安英斌,男,高中学历,历任北京市世源众联科技有限公司总经理,北京安诚永信科技有限公司董事长兼总经理,陕西鸿兴矿业有限公司总经理,吉林森工集团泉阳泉饮品有限公司监事会主席;现任吉林森工集团泉阳泉饮品有限公司总经理。2020年1月10日担任吉林森林工业股份有限公司副总经理职务。"
3,王海,男,,副总经理,--,博士,王海：男，管理学博士，正高级经济师，历任中国吉林森林工业（集团）总公司经营对策部、经营管理部职员，办公室副主任，本公司董事、董事会秘书、证券部部长。现任本公司副总经理。
4,李萍,女,,董事,--,大专,"李萍,女,大专学历,高级经济师、园林工程师。历任苏州市绿化工程队出纳、会计;苏州市平江绿化公司财务科科长;苏州工业园区园林绿化工程有限公司行政部主任兼财务部部长;现任苏州工业园区园林绿化工程有限公司副总经理。2019年9月26日任职于吉林森工公司董事职务。"
5,孙颖奇,男,,董事,--,硕士,"孙颖奇,男,研究生学历,高级政工师。历任红石林业局技校教师团委书记,红石林业局党校教师理论室主任,红石林业局办副主任党委秘书,红林分公司办主任党办主任,红石林业局办主任党办主任、企管部长、机关党委副书记,红石林业局党委组织部长,白石山林业局副局长,中国吉林森林工业集团有限责任公司政法委副书记,长春东北亚总部经济开发有限公司董事、常务副总经理,长春东北亚总部经济开发有限公司党委书记,长春东北亚总部经济开发有限公司董事长,中国吉林森林工业集团有限责任公司东北亚公司清算办公室主任,中国吉林森林工业集团有限责任公司法律与风险控制部部长、政法委办公室主任;现任吉林市森晟房地产开发有限责任公司执行董事、总经理,吉林市森邦实业有限公司总经理,红石林业局党委书记、局长,吉林制材厂集团有限责任公司董事长。于2018年11月23日担任吉林森林工业股份有限公司董事一职。"
6,时军,男,,董事会秘书,--,本科,时军：男，大学本科。历任国泰君安证券客户服务部经理，吉林森工财务公司投资部副部长，中国吉林森林工业集团有限责任公司证券部部长，吉林森工集团投资有限责任公司副总经理，长白山旅游股份有限公司董事；现任本公司董事会秘书、证券部部长。
7,丁俊杰,男,1964,独立董事,56,博士,"丁俊杰先生,1964年3月出生,中国籍,无境外永久居留权,博士研究生学历,中国广告协会副会长、中国商务广告协会副会长。曾在北京广播学院新闻系、北京中传数广技术有限公司和北京小马奔腾文化传媒股份有限公司任职。现任中国传媒大学广告学院院长,中国传媒大学学术委员会副主任、教授、博士生导师,国家广告研究院院长,首都传媒经济研究基地(北京市哲学社会科学重点研究基地)主任,中国高等教育学会广告专业委员会理事长,吉林森工集团泉阳泉饮品有限公司董事,北京人寿保险股份有限公司独立董事,哇棒移动传媒股份有限公司独立董事。2018年4月至今,任三人行独立董事。"
8,张忠伟,男,,独立董事,--,本科,"张忠伟,男,本科,注册会计师。历任中准会计师事务所(特殊普通合伙)高级项目经理,吉林紫鑫药业股份有限公司董事、财务总监、总经济师。现任吉林新元会计师事务所有限责任公司副主任会计师,通化双龙化工股份有限公司独立董事。2019年9月26日任职于吉林森工公司独立董事职务。"
9,郑志斌,男,,独立董事,--,硕士,"郑志斌,男,研究生学历。历任广东省深圳市华邦律师事务所律师;北京市金杜律师事务所合伙人;现任北京大成律师事务所高级合伙人。2019年9月26日任职于吉林森工公司独立董事职务。"
