,姓名,性别,出生日期（计算值）,职位,年龄,学历,简介
0,徐自力,男,1966,"董事长,法定代表人,董事",54,硕士,"徐自力,男,1966年出生,研究生学历,高级工程师。曾任湖北黄石矿务局机械厂副厂长、海口永盛畜牧机械工程有限公司总经理、天津宝迪农业科技股份有限公司董事长;曾任海口市第十三届政协常委等;2006年8月至2011年11月任本公司副董事长兼总经理;2011年11月至今任本公司董事长;现任海南省第七届政协委员。"
1,钟金雄,男,1962,"总经理,副董事长,董事",58,硕士,"钟金雄,男,1962年出生,中共党员,研究生学历。曾任海口市新华区计划统计局局长,海口市统计局副局长;2004年至今任海南深兴贸易有限公司、海南励勤投资有限公司董事长;2006年9月至2011年11月历任本公司总经理助理、副总经理、董事兼常务副总经理;2011年11月至今任本公司副董事长兼总裁;同时,系海口市十六届人大代表。"
2,唐山荣,男,1979,副总裁,41,硕士,唐山荣：男，1979年11月出生，硕士研究生学历，工程师。曾任罗牛山股份有限公司总裁秘书、海南罗牛山能源环保有限公司总经理、海南罗牛山农业科技有限公司董事长。2014年3月至今，任罗牛山股份有限公司总裁助理兼行政部总经理。
3,胡电铃,男,1961,董事,59,硕士,"胡电铃,男,1961年出生,中共党员,研究生学历,律师。历任本公司办公室主任、董事会秘书、副总经理、董事;历任湖北广济药业股份有限公司董事、常务副总经理、总经理;历任国华人寿保险股份有限公司董事;2006年8月至2011年11月任本公司董事长;2011年11月至2013年8月任湖北广济药业股份有限公司副董事长兼总经理;2006年8月至今任本公司董事。现任武汉东湖高新区互生小额贷款有限公司法定代表人。"
4,张慧,女,1972,"董事,董事会秘书",48,本科,"张慧,女,1972年出生,本科学历,管理学学士,高级会计师、注册会计师,1992年7月毕业分配至江西省工艺品进出口公司财务部工作;2002年4月至今就职于本公司,历任审计主管、会计主管、财务部副总经理、企管审计部总经理、总裁助理和财务总监,2014年6月至今任本公司董事,现任本公司董事会秘书;2018年3月至今,兼任海口农村商业银行股份有限公司董事。"
5,蔡东宏,男,1966,独立董事,54,博士,"蔡东宏:男,1966年12月出生,武汉大学管理学博士,享受国务院特殊津贴专家,海南省“515人才工程”第一层次人才、海南省高校教学名师,获得海南省有突出贡献的优秀专家称号。曾任抚州教师进修学校助教,华南热带农业大学讲师、副教授、教授,曾访学美国英国。现任海南大学经济与管理学院教授,担任海南海峡航运股份有限公司独立董事,罗牛山股份有限公司独立董事。2017年5月至2020年3月23日任海南海药股份有限公司第九届独立董事职务。"
6,王瑛,女,1973,独立董事,47,博士,"王瑛,女,1973年出生,中国国籍,无境外永久居留权法学博士。曾任湖北省仙桃市建设银行员工。现任中央民族大学法学院副教授、硕士研究生导师,北京航天宏图信息技术股份有限公司独立董事、第七大道控股有限公司独立非执行董事。兼任中国国际经济贸易仲裁委员会、广州市贸易仲裁委员会、海南仲裁委员会等机构的仲裁员。017年5月至今任公司独立董事。"
7,朱辉,女,1970,独立董事,50,本科,"朱辉,女,1970年5月出生,中国国籍,无境外永久居留权,本科学历,中国注册会计师协会资深会员,高级会计师、中国注册会计师、中国注册资产评估师、中国注册税务师。曾任天津滨海会计师事务所审计经理,天津五洲联合会计师事务所审计合伙人,德勤华永会计师事务所审计合伙人;现任渤海产业投资基金管理有限公司财务总监、投资决策委员会委员,天津长荣科技集团股份有限公司董事,成都中小企业融资担保有限责任公司董事,天津滨海农村商业银行股份有限公司独立董事、罗牛山股份有限公司独立董事;2013年3月至2019年4月兼任公司第三、四届董事会独立董事。"
8,毛耀庭,男,1962,"监事会主席,职工代表监事",58,本科,毛耀庭：男，1962年出生，本科学历，政工师。1996年至今在本公司任职，历任本公司办公室主任、企划部经理、董事会秘书、工会主席，现任本公司监事会主席。
9,晏敬东,男,1962,监事,58,博士,晏敬东：男，1962年出生，博士学历。现任武汉理工大学管理学院教授，博士生导师；澳大利亚新南威尔士大学访问学者；武汉理工大学管理学院技术经济系副主任和公共管理研究中心主任。兼任国家自然科学基金委员会同行评议专家、教育部留学回国人员基金评审专家，中国管理科学院企业技术创新研究所高级研究员，湖北省科技厅科技成果奖励评审专家，湖北省科技厅、武汉东湖高新技术开发区科技型中小企业创新基金评估专家。
10,尹焱慜,男,1976,监事,44,硕士,尹焱慜：男，1976年出生，硕士学历，注册会计师、注册内部审计师、注册信息系统审计师。曾任上海众华沪银会计师事务所项目经理、上海张江高科技园区开发股份有限公司计划财务部经理，2010年10月至2013年05月任三胞集团有限公司执行副总裁，现为独立财务顾问。
11,杨向雅,女,1984,财务总监,36,本科,"杨向雅,女,1984年出生,本科学历,注册会计师、税务师、美国注册管理会计师(CMA);曾就职于华能南山电厂、中审亚太会计事务所海南分所、三亚城市投资建设有限公司;2012年10月至今就职于公司,现任公司财务部总经理。"
