,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-07-07,黄俊辉,-920230,11.21,172677262,二级市场买卖,黄俊辉,董事,本人
1,2020-06-23,黄俊辉,-1873905,11.42,173597492,二级市场买卖,黄俊辉,董事、高级管理人员,本人
2,2020-06-22,黄俊辉,-1570000,11.33,175471397,二级市场买卖,黄俊辉,董事、高级管理人员,本人
3,2020-06-12,郑幼文,-1690860,11.50,14647842,大宗交易,黄俊辉,董事长、总经理,配偶
4,2020-06-08,郑幼文,-301373,12.28,16338702,大宗交易,黄俊辉,董事长、总经理,配偶
5,2020-06-08,郑幼文,-1669727,13.88,16338702,集中竞价交易,黄俊辉,董事长、总经理,配偶
6,2020-05-07,陈校,-676036,17.66,0,集中竞价,黄俊辉,董事长、总经理,其他组织
7,2020-05-07,黄庄泽,-426035,--,0,集中竞价,黄俊辉,董事长、总经理,其他组织
8,2020-01-03,黄庄泽,-250000,--,426035,--,黄俊辉,董事长、总经理,其他组织
9,2019-06-12,宋永围,-31600,18.59,95158,二级市场买卖,宋永围,高级管理人员,本人
10,2019-06-05,陈树龙,-35800,17.47,107473,二级市场买卖,陈树龙,董事,本人
11,2018-09-03,徐兴泽,-4300,24.11,190710,二级市场买卖,徐兴泽,董事,本人
12,2018-05-30,陈树龙,-36700,23.10,110210,二级市场买卖,陈树龙,董事,本人
13,2018-05-08,宋永围,-25000,29.63,75005,二级市场买卖,宋永围,高级管理人员,本人
14,2017-12-31,陈树龙,-37000,--,113008,出售,陈树龙,董事、副总经理兼董事会秘书,本人
15,2017-12-31,林育平,-30000,--,100007,出售,林育平,监事,本人
16,2017-12-31,吴先俊,-3008,--,147000,出售,吴先俊,监事会主席(已离任),本人
17,2017-12-29,林育平,-7500,23.95,100007,二级市场买卖,林育平,监事,本人
18,2017-12-28,林育平,-10000,24.31,107507,二级市场买卖,林育平,监事,本人
19,2017-12-18,陈树龙,-37000,22.37,113008,二级市场买卖,陈树龙,董事,本人
20,2017-12-18,林育平,-12500,22.31,117507,二级市场买卖,林育平,监事,本人
