,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
0,2020-06-09,秦开发,100,27.42,--,竞价交易,秦开田,高管,兄弟姐妹
1,2020-05-11,陈晓韵,345000,29.76,--,竞价交易,温小琼,董事、高管,子女
2,2020-05-11,严安,3300,30.00,--,竞价交易,严居然,董事,兄弟姐妹
3,2020-04-27,严安,33500,30.64,--,竞价交易,严居然,董事,兄弟姐妹
4,2020-03-09,秦开元,2000,35.11,--,竞价交易,秦开田,高管,兄弟姐妹
5,2020-03-06,张祥慧,1400,36.00,--,竞价交易,张祥斌,监事,兄弟姐妹
6,2020-03-05,秦开元,-2000,38.20,--,竞价交易,秦开田,高管,兄弟姐妹
7,2020-03-05,张祥慧,-5300,38.20,--,竞价交易,张祥斌,监事,兄弟姐妹
8,2020-02-28,严安,10000,33.80,--,竞价交易,严居然,董事,兄弟姐妹
9,2020-02-26,严安,28000,35.63,--,竞价交易,严居然,董事,兄弟姐妹
10,2019-12-31,陈瑞爱,-200000,--,10354625,不详,陈瑞爱,副总裁,本人
11,2019-12-31,何维光,-1280000,--,56207433,不详,何维光,股东监事,本人
12,2019-12-31,林建兴,-200000,--,930400,不详,林建兴,财务总监,本人
13,2019-12-31,罗旭芳,-190000,--,12484268,不详,罗旭芳,副总裁,本人
14,2019-12-31,梅锦方,-230000,--,1087600,不详,梅锦方,"副总裁,董事会秘书",本人
15,2019-12-31,伍政维,-1099940,--,17477598,不详,伍政维,"职工监事,监事会主席",本人
16,2019-12-31,叶京华,-2000000,--,30650259,不详,叶京华,副总裁,本人
17,2019-12-31,张祥斌,-120000,--,18289826,不详,张祥斌,职工监事,本人
18,2019-12-25,罗旭芳,10000,32.80,12484200,竞价交易,罗旭芳,高管,本人
19,2019-12-10,严志豪,24200,33.25,--,竞价交易,严居能,董事,子女
20,2019-12-10,张祥慧,300,33.30,--,竞价交易,张祥斌,监事,兄弟姐妹
21,2019-12-05,严安,10100,34.80,--,竞价交易,严居然,董事、高管,兄弟姐妹
22,2019-11-22,严安,27700,36.00,--,竞价交易,严居然,董事、高管,兄弟姐妹
23,2019-11-20,严安,14700,36.30,--,竞价交易,严居然,董事、高管,兄弟姐妹
24,2019-11-19,严安,36000,36.30,--,竞价交易,严居然,董事、高管,兄弟姐妹
25,2019-11-18,严安,48000,36.28,--,竞价交易,严居然,董事、高管,兄弟姐妹
26,2019-11-15,梁菊莲,20000,36.90,--,竞价交易,梁志雄,高管,兄弟姐妹
27,2019-11-15,严安,25000,36.65,--,竞价交易,严居然,董事、高管,兄弟姐妹
28,2019-11-08,陈瑞爱,-10000,38.91,10354625,竞价交易,陈瑞爱,高管,本人
29,2019-10-29,陈瑞爱,-30000,42.00,10364625,竞价交易,陈瑞爱,高管,本人
30,2019-10-29,梁菊莲,-20000,41.65,--,竞价交易,梁志雄,高管,兄弟姐妹
31,2019-10-21,张祥慧,-5000,38.45,--,竞价交易,张祥斌,监事,兄弟姐妹
32,2019-10-17,严莹莹,1100,36.50,--,竞价交易,严居能,董事,子女
33,2019-09-19,叶京华,-200000,38.56,30650259,竞价交易,叶京华,高管,本人
34,2019-09-18,梁菊莲,20000,38.30,--,竞价交易,梁志雄,高管,兄弟姐妹
35,2019-09-18,严莹莹,1000,38.34,--,竞价交易,严居能,董事,子女
36,2019-09-18,叶京华,-168000,38.41,30850259,竞价交易,叶京华,高管,本人
37,2019-09-12,严志豪,26900,37.97,--,竞价交易,严居能,董事,子女
38,2019-09-11,严志豪,10000,38.65,--,竞价交易,严居能,董事,子女
39,2019-09-09,黎少芬,400000,38.75,--,竞价交易,黎少松,董事、高管,兄弟姐妹
40,2019-09-09,温淑颖,1300,38.98,--,竞价交易,温志芬,董事,子女
41,2019-09-09,严志豪,15000,38.88,--,竞价交易,严居能,董事,子女
42,2019-09-06,严志豪,200000,40.16,--,竞价交易,严居能,董事,子女
43,2019-09-05,何维光,-200000,42.00,56207433,竞价交易,何维光,监事,本人
44,2019-09-05,梅锦方,-30000,41.51,1087600,竞价交易,梅锦方,董秘、高管,本人
45,2019-09-04,黎沃灿,-199300,41.35,--,竞价交易,黎少松,董事、高管,父母
46,2019-09-04,梅锦方,-50000,41.40,1117600,竞价交易,梅锦方,董秘、高管,本人
47,2019-09-03,陈瑞爱,-20000,42.00,10394625,竞价交易,陈瑞爱,高管,本人
48,2019-09-03,黎沃灿,-400000,41.80,--,竞价交易,黎少松,董事、高管,父母
49,2019-09-03,梅锦方,-30000,41.41,1167600,竞价交易,梅锦方,董秘、高管,本人
50,2019-09-02,黎沃灿,-400000,41.23,--,竞价交易,黎少松,董事、高管,父母
51,2019-08-28,陈瑞爱,-20000,41.50,10414625,竞价交易,陈瑞爱,高管,本人
52,2019-08-28,何维光,-500000,42.00,56587433,竞价交易,何维光,监事,本人
53,2019-08-28,梁菊莲,-20000,41.00,--,竞价交易,梁志雄,高管,兄弟姐妹
54,2019-08-28,梅锦方,-40000,42.03,1197600,竞价交易,梅锦方,董秘、高管,本人
55,2019-08-26,严莹莹,5500,39.26,--,竞价交易,严居能,董事,子女
56,2019-07-19,陈瑞爱,-20000,40.80,10434625,竞价交易,陈瑞爱,高管,本人
57,2019-07-19,梅锦方,-20000,40.80,1237600,竞价交易,梅锦方,董秘、高管,本人
58,2019-07-19,伍思凝,-147900,40.89,--,竞价交易,伍政维,监事,子女
59,2019-07-19,伍政维,-69600,40.82,17477598,竞价交易,伍政维,监事,本人
60,2019-07-19,郑妙红,-61100,40.69,--,竞价交易,张祥斌,监事,配偶
61,2019-07-18,叶京华,-200000,40.28,31018259,竞价交易,叶京华,高管,本人
62,2019-07-17,何维光,-200000,41.00,57087433,竞价交易,何维光,监事,本人
63,2019-07-17,伍思凝,-217200,40.89,--,竞价交易,伍政维,监事,子女
64,2019-07-17,伍政维,-192872,40.29,17547198,竞价交易,伍政维,监事,本人
65,2019-07-17,郑妙红,-130000,40.74,--,竞价交易,张祥斌,监事,配偶
66,2019-07-16,郑妙红,-30000,40.51,--,竞价交易,张祥斌,监事,配偶
67,2019-07-15,陈学龙,-12000,39.17,--,竞价交易,陈峰,高管,兄弟姐妹
