,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,52,97,139,171,134,143,151,273,255,151
1,600265,-13,0,-21,-16,-10,-10,-8,-6,-6,0
2,002556, ,30,14,17,28,36,29,47,58,48
3,002385,79,136,195,208,170,103,142,216,199,-54
4,000713,30,32,21,15,14,20,14,-5,15,37
5,002714, , , , ,-56,-20,368,680,136,-557
6,002891, , , , , , , ,25,16,10
7,600371,13,13,14,14,-10,7,11,12,14,14
8,600598,100,115,125,133,808,150,82,238,287,268
9,000860,107,98,84,106,184,193,178,190,365,429
10,600354,79,47,-49,-3,-71,-58,-69,267,-56,-42
11,600506,-2,-2,3,4,-1,-2,-1,0,-1,-1
12,601952, , , , , , , , ,145,132
13,600313,-4,1,1,-3,-3,-17,2,-14,-21,-13
14,603668, , , , , , , ,12,17,14
15,603336, , , , , , , ,19,15,16
16,300189, ,34,35,36,19,-12,-2,12,14,-12
17,600108,22,30,49,63,54,29,14,20,27,30
18,002746, , , , , ,2,20,16,32,169
19,002041,178,114,35,117,150,102,146,51,12,-13
20,002157,12,27,43,9,-88,-69,222,129,48,-410
21,601118, ,190,103,55,8,-109,-87,14,-251,15
22,002311,-7,8,5,4,11,16,43,69,110,123
23,300498, , , , , , ,3212,1472,1484,-455
24,002299,26,45,70,-92,-129,-218,63,10,126,680
25,002696, , , ,3,5,-12,0,0,14,8
26,002124,1,-15,1,-18,4,-27,68,52,31,-336
27,600359,15,22,-33,2,-3,0,-22,3,-9,1
28,002086,5,6,7,7,2,2,2,2,3,1
29,002240,17,-27,-34,-10,-6,-3,-35,1,1,22
30,600076,-6,-4,-6,-6,-6,-6,111,111,138,138
31,300094, ,-3,-30,-9,16,-22,-3,18,96,8
32,300106, ,7,4,4,6,7,-13,-17,-37,2
33,002200,15,-14,-1,-4,2,1,1,-17,-39,7
34,600275,-3,-6,-4,-7,-5,-3,-5,-7,-11,-3
35,000592,3,-5,-19,-3,0,0,-3,-18,-8,-4
36,300087, ,4,9,4,7,6,4,5,8,9
37,002069,94,111,80,28,27,-8,-9,3,-9,-44
38,002234,-16,39,12,-39,-40,-42,69,-76,-16,386
39,300313, , , ,-2,0,-9,-21,-6,-6,-8
40,600540,3,4,-41,8,2,-11,-8,7,8,-11
41,600467,24,24,24,24,10,7,8,10,10,9
42,600257,9,11,11,14,13,6,9,6,7,5
43,002679, , , ,-11,-13,-19,-23,-21,2,-12
44,300262, , ,2,4,5,9,14,21,28,25
45,300761, , , , , , , , , ,107
46,600097,-1,4,8,17,-26,-53,-92,-41,-23,-22
47,002321,9,17,17,1,-53,14,11,13,27,23
48,000798,9,5,-28,-16,5,6,-9,-5,18,-23
49,000663,0,-2,-6,-1,-9,0,-16,-17,-23,-18
50,600975,3,4,12,4,-24,-28,48,29,-6,-29
51,002458, ,22,26,-25,-70,-64,83,3,10,381
52,002688, , , ,18,21,26,55,45,34,37
53,002100,23,31,40,50,47,52,96,106,54,0
54,000735,4,6,8,4,-22,17,8,87,332,-14
55,600965,0,2,3,21,18,22,41,25,36,40
56,603363, , , , , , , , ,11,26
57,300511, , , , , , , ,49,112,138
