,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,000998,388,440,586,699,520,571,657,820,814,740
1,600265,40,98,18,14,22,21,17,16,12,36
2,002556, ,1371,2493,2697,2113,2266,1826,2846,3306,3485
3,002385,1122,1440,2103,2917,4019,3487,3277,3960,4601,4057
4,000713,289,365,378,340,253,191,231,347,453,570
5,002714, , , , ,449,500,912,1968,2756,3048
6,002891, , , , , , , ,217,277,381
7,600371,141,118,130,122,119,109,85,68,66,70
8,600598,1510,2578,4353,2101,1879,637,544,617,688,572
9,000860,1971,2002,2487,2600,3206,3234,3634,3843,3973,4765
10,600354,431,361,280,445,191,168,107,91,86,191
11,600506,2,2,10,11,25,14,7,9,15,2
12,601952, , , , , , , , ,911,1271
13,600313,9,301,321,309,343,515,1147,1009,605,899
14,603668, , , , , , , ,159,247,355
15,603336, , , , , , , ,160,161,172
16,300189, ,157,159,173,138,104,93,482,66,29
17,600108,323,263,408,468,494,433,399,372,508,512
18,002746, , , , , ,427,435,466,452,735
19,002041,343,273,157,319,396,279,458,203,139,136
20,002157,1366,1856,2733,3469,3556,3569,4010,4622,4959,5194
21,601118, ,1935,1820,2231,1971,1650,1165,1505,1093,1576
22,002311,946,1284,2044,2802,3040,3524,4004,5466,7260,8875
23,300498, , , , , , ,13456,12803,13154,13966
24,002299,417,544,922,972,1270,1425,1839,2019,2351,3084
25,002696, , , ,163,212,302,326,392,506,552
26,002124,147,234,322,361,398,404,413,558,843,1245
27,600359,362,532,255,122,165,161,212,464,138,119
28,002086,94,120,134,123,115,114,128,140,152,114
29,002240,260,300,387,353,339,279,248,304,473,524
30,600076,2,2,1,1,2,1,347,314,613,532
31,300094, ,178,245,386,507,387,499,840,1010,1127
32,300106, ,68,116,129,154,161,141,154,147,171
33,002200,161,6,38,46,137,145,109,109,47,37
34,600275,12,3,4,3,2,5,5,2,1,2
35,000592,85,96,143,131,154,212,156,108,170,216
36,300087, ,44,84,71,82,89,95,94,126,140
37,002069,403,580,524,555,598,627,633,672,712,559
38,002234,178,267,297,237,229,224,289,221,294,731
39,300313, , , ,13,14,18,133,30,27,29
40,600540,518,271,389,171,180,187,69,202,348,291
41,600467,153,143,188,190,141,188,173,222,318,269
42,600257,112,121,134,145,162,144,172,195,200,240
43,002679, , , ,10,14,10,0,0,26,10
44,300262, , ,22,81,63,139,131,199,295,234
45,300761, , , , , , , , , ,1626
46,600097,54,138,170,172,132,70,131,325,372,383
47,002321,233,332,410,378,331,471,390,692,1146,1185
48,000798,57,80,49,56,76,142,94,123,122,104
49,000663,48,37,78,84,78,83,197,192,123,125
50,600975,143,194,230,222,257,264,367,432,399,393
51,002458, ,153,149,164,123,179,343,210,222,651
52,002688, , , ,153,168,284,348,338,338,385
53,002100,512,568,693,855,769,877,962,1039,996,1205
54,000735,171,193,208,250,275,149,169,544,198,214
55,600965,131,132,136,140,259,300,340,300,353,363
56,603363, , , , , , , , ,1356,1340
57,300511, , , , , , , ,263,542,536
