,旅游者类型,昵称,时间,日期
0,家庭,DS游记分享-Dilo,2017-10-28,"冲着万圣节主题去的, 真的, 长隆的万圣节做的比其他地方更有特色, 很多都是请外国演员进行万圣节的装扮, 十分地道, 个鬼屋惊险刺激, 万圣节的气氛非常浓厚, 要问中国在哪能过上最棒的万圣节, 非长隆莫属, 也很有心的写了一篇长隆万圣节的攻略, 大家可以看看"
1,家庭,许若安,2014-05-04,"万圣节啊, 我们大概花了, 个小时左右就玩完了万圣主题的所有地带, 然后剩下的时间久完了机动游戏, 值回票价, 因为白天的机动游戏的门票需要, 元, 所有计算下来, 元玩得很尽兴, 另外提醒大家, 周末会比较多人, 尽量避免, 吃饭方面的可以自带粮食或者进场前吃, 也可以在场内吃, 场内的餐厅比较贵, 而且味道一般, 就是比较方便"
2,家庭,M25****2460,2017-12-30,"项目比欢乐谷刺激有些, 人特别多, 快来挑战挑战自己吧"
3,家庭,车厘,2015-08-10,"有个迷你版欢乐世界, 入边噶游戏只适合, 以下噶儿童, 室内有空调, 呢个时候真系凉快, 个海盗漂流等左成个钟先有得玩, 仲要搞到湿晒身, 飞马好好玩好刺激, 可能系自己来老了, 越大越怕, 果, 打牌项目十环啊, 型滑板啊大摆锤啊条队太长就无玩喇, 垂直太刺激又唔敢玩, 三大剧场, 里约大冒险, 星际决战, 森林神庙, 都唔使排太耐队, 里约同神庙比较普通, 但系星际真系好值得一提, 距系坐部太空船飞去稳外星人嘎, 到左, 点有魔术表演, 但系觉得唔多专业, 一睇就识穿左, 三点半有巡游, 见到各个花车同各个小丑边行边表演, 真系开心, 买左, 小食, 好贵咯, 草莓番石榴汁, 鸡翅, 热狗, 餐厅, 饭超贵, 要, 个菠萝牛肉饭套餐, 主要系入园要搜包包, 唔俾带野食入去, 垄断晒园内噶消费, 园内消费就系坑人噶"
4,家庭,M56****071,2017-05-30,"一个字爽, 两个字超爽, 三个字超级爽, 四个字超级之爽"
5,家庭,小山子,2015-08-17,"联通便利, 长隆地铁站出站, 分钟步行就到, 网上预约方便, 现场直接扫码生成手机门票, 不用再排队取票, 游玩项目丰富, 最经典刺激的当数, 垂直过山车, 大摆锤和, 型滑板, 垂直过山车最好坐首排居中, 在最高点悬空停止的时候让你不自觉心跳加速, 冲下的一霎那你想不尖叫都不行, 十环过山车是我体验最糟糕的一个项目, 肩夹头部两侧的固定翼太硬, 过山车运行时明显感觉到颠簸, 在旋转过程中将我的耳朵软骨撞伤, 虽然无大碍, 但疼了我, 个星期, 情侣项目, 亲子项目丰富, 除了年龄过小, 过大者, 身体不适者, 几乎适合所有人群, 不管是情侣, 亲子, 家族, 工友, 都会让你放松身心, 尽情享受速度和童趣带来的快乐享受, 建议刺激游玩项目和表演类项目穿插着玩, 这个就要提前在官网, 攻略贴里找到准确的开演时间, 这里提下, 惊天水上特技的枪声喇叭音量太大, 看到小朋友都是捂着耳朵捱过去的, 电影院的座椅背部凸点突然的顶出, 搞得背好疼, 座椅哐嘡哐嘡的前后摆动让人扫兴, 当然, 各种项目的趣味性因人而异, 还是要自己试过才知道是否合口味, 最后就是一点小提醒和建议, 入园要检查随身背包, 手提袋, 禁止携带熟食和水果, 可以携带饮品, 塑封好的食品, 零食, 单反就不要携带了, 即使是沉稳的大人进去, 也会忍不住童心大发, 每个项目都试一遍, 况且很多项目是没有条件让你能够手拿拍摄器材留影的, 因为高速下你根本拿不住, 游玩的时候建议不要穿高跟, 拖鞋, 不然会要求你脱下, 以免天空一条咸鱼划过, 路人惊叫遭殃, 呵呵, 总体来说, 这是一个永远玩不厌的乐园"
6,家庭,tb93058566,2015-04-21,"这个欢乐世界还是挺好玩的, 里面玩的很多, 有很多大型游艺设备, 诸如十环过山车, 垂直过山车, 超级大摆锤等, 和小伙伴们一起感受刺激的体验, 是个出游的好地方"
7,家庭,juniezhu,2015-01-08,"广州要说玩肯定都想到长隆, 玩起来还真的不错, 总体来说是值得一玩的乐园, 建议要游玩一天的朋友最好自备多点食物和水, 门票有点小贵, 网上预订是, 元"
8,家庭,M15****070,2016-03-02,"长隆欢乐世界特别的好玩刺激, 值得一游, 还有圣心大教堂, 都很漂亮"
9,家庭,梦之旅,2015-10-02,"很刺激, 设备齐全, 很开心的一天, 有机会还会来的"
10,家庭,233****578,2015-09-15,"性价比不是五分的原因是因为景区里面的餐饮太贵, 性价比不高, 又不能自带食物, 这个有点无奈, 十环过山车和垂直过山车必须玩, 建议入住长隆酒店, 欢乐世界和水上乐园很多热门项目可以优先"
11,家庭,吃遍世界,2015-08-28,"还行, 免票, 就是人太多了, 玩一个项目要排队好久"
12,家庭,Jayden,2015-08-14,"还可以吧, 就是门票有点贵, 比欢乐谷贵点, 但玩的还行"
13,家庭,E99****80,2015-08-12,"可以直接坐地铁到, 较方便, 园区里面的那个电影特技的表演很棒, 人好多, 热门设施没半小时以上基本别想"
14,家庭,206****885,2015-08-11,"安检基本上就是看一眼就让进的, 可以自带水和吃的, 儿子玩儿的很开心, 有机会还会再来的"
15,家庭,_WeCh****12797,2015-08-09,"去了欢乐世界和水上世界, 真的都很好玩, 就是排队会排很久, 毕竟是假期也能理解, 不过更加喜欢水上乐园虽然太阳毒辣的晒黑人, 不过真的好好玩, 喜欢"
16,家庭,M19****269,2015-08-09,"很嗨, 首先服务门票都可以, 其次不麻烦"
17,家庭,那又怎样,2015-08-09,"设施很多, 大人和小朋友都能玩儿尽性, 但是建议工作日或者错开假期去, 我们是暑假加周末去的, 人特多, 排队要很久"
18,家庭,M19****625,2015-08-07,"设施新, 但是不是特别多, 能够再多一点特色的游乐设施就好了"
19,家庭,_CFT01****3139840,2015-08-04,"刺激到不敢相信, 只要你敢来, 就是纯爷们"
20,家庭,M22****577,2015-08-02,"十环过山车和垂直过山车超级刺激, 就是星期天人太多了, 排队等了挺久, 总体来说挺赞的, 网上购票也非常方便"
21,家庭,M20****486,2015-08-02,"各种游玩设施都各有特点, 特别是, 型滑板, 惊险刺激"
22,家庭,Bong,2015-07-21,"虽然下雨, 但是每项都开放都不怎么用排队, 跟女友玩得很开心, 很刺激"
23,家庭,欢儿,2015-06-15,"很开心, 很美, 玩的很爽, 非常值得一去, 不虚此行"
24,家庭,lulustar,2015-06-08,"价格又便宜, 景点又好玩, 路线安排特别好, 直接凭借手机短信到欢乐世界规定的地点换票"
25,家庭,樊崽子,2015-06-08,"因为时间方面没有全玩过, 我们两个玩得很开心, 路线安排特别好, 导游很景点亲切, 值得点赞"
26,家庭,_CFT01****1053360,2015-05-27,"垂直过山车, 型滑板, 十环过山车, 又刺激又惊险, 太棒了"
27,家庭,186****3626,2015-05-27,"很多惊险刺激的项目, 小孩大人玩的都有, 还有比较适合一大帮年轻的朋友周末游玩"
28,家庭,_CFT01****7711491,2015-05-05,"长隆真真是广州必游之地呢, 可以选择在工作学习之余去游玩, 节假日慎去哦, 节假日人多到只能人挤人了, 解压的好地方, 喜欢刺激的朋友首选之地, 垂直过山车可以满足你"
29,家庭,187****4520,2015-03-31,"里面表演很多, 游乐项目也好玩, 摩托和垂直过山车强力推荐, 表演也好看, 可以玩上一整天"
30,家庭,118****724,2015-03-29,"绝对适合青年学生出游, 充满惊险刺激与挑战, 价格适中, 有很多不错的演出节目, 值得一看"
31,家庭,言谈,2015-01-19,"希望像深圳欢乐谷一样引进, 时空梭, 摩天轮"
32,家庭,_cs33****3071,2014-11-23,"很多地方都有设置休息的地方和遮阳伞, 风扇, 排队的地方设置也很不错, 特别是在最高处时, 从上往下看风景很美"
33,家庭,151****3359,2014-11-01,"垂直过山车好刺激好过瘾, 玩了两次还想再玩, 亲子游不错的选择, 有很多适合孩子的游玩项目, 但是人很多值得一来"
34,家庭,139****9611,2014-09-28,"来这里玩刺激绝对是首选, 疯狂的过山车做个不停, 这高度, 这速度, 这风景绝对值得这个价"
35,家庭,love爱爱爱爱,2014-05-30,"欢乐谷非常的热闹, 有很多好玩的项目, 价格也是比较实惠的, 我还是比较喜欢, 有机会还会去"
36,家庭,阿彩1983,2014-05-15,"真心好玩, 去的时候应该是, 月份, 淡季, 基本上没排队, 过山车真心好玩, 我老公玩了三次, 兴奋坏了, 有真人秀表演, 几点我忘了, 建议去的朋友可以之前打听好时间, 挺多老外表演的, 有意思又刺激"
37,家庭,_CFT01****3413904,2014-05-05,合肥人格俄国人非而规范和饿死有人敢扶额岁而规范色很有风格大幅提高人的杨贵妃
38,家庭,lmxxx,2014-04-19,"里面很多游乐设施, 以过山车为主, 垂直过山车建议第一个去玩, 因为没玩过, 还有胆量, 毕竟是最高的过山车, 刚上到顶看到广州的全景, 接下来发生的我想你也不会想经历第二次了, 很刺激, 下午, 点还会有表演, 荡秋千个人觉得最好玩"
