,名字,频数
0,不错,329
1,玩,285
2,项目,142
3,过山车,123
4,非常,117
5,刺激,117
6,好玩,115
7,长隆,113
8,世界,94
9,欢乐,91
10,很多,84
11,排队,78
12,开心,69
13,孩子,67
14,喜欢,45
15,垂直,45
16,带,42
17,时间,41
18,真的,41
19,好好,41
20,比较,38
21,里面,38
22,特别,38
23,体验,37
24,感觉,37
25,挺,36
26,广州,35
27,地方,35
28,小朋友,35
29,设施,34
30,买,34
31,游玩,33
32,值得,33
33,万圣节,33
34,适合,31
35,酒店,29
36,方便,27
37,游乐,27
38,有点,27
39,粗,27
40,想,26
41,一起,26
42,表演,26
43,朋友,25
44,太,25
45,一天,25
46,乐园,24
47,哈哈哈,24
48,一次,24
49,超级,23
50,吃,22
51,下次,21
52,进去,19
53,游戏,19
54,票,19
55,动物园,18
56,门票,18
57,贵,18
58,挺好玩,17
59,建议,17
60,身高,17
61,不用,17
62,携程,16
63,做,16
64,坐,16
65,需要,16
66,摆锤,15
67,景区,15
68,玩得,15
69,人不多,15
70,水上,14
71,晚上,14
72,小孩,14
73,园区,14
74,一去,14
75,嗨,14
76,工作人员,14
77,很大,13
78,天气,13
79,儿童,13
80,小孩子,13
81,棒,13
82,划算,13
83,活动,13
84,推荐,13
85,野生,13
86,愉快,13
87,米,13
88,游乐园,12
89,鬼屋,12
90,一下,12
91,选择,12
92,机会,12
93,十环,12
94,性价比,12
95,周末,12
96,剧场,12
97,感谢,12
98,几个,11
99,每个,11
100,高,11
101,大人,11
102,型,11
103,价格,11
104,东西,11
105,不敢,11
106,服务,11
107,马戏,10
108,便宜,10
109,一遍,10
110,惊险刺激,10
111,不能,10
112,很棒,10
113,一定,10
114,下午,10
115,希望,10
116,最后,10
117,左右,9
118,设备,9
119,人少,9
120,亲子,9
121,机动,9
122,跳楼,9
123,节假日,9
124,好多,9
125,走,9
126,最好,9
127,精彩,9
128,淡季,9
129,住,9
130,雨衣,9
131,玩儿,9
132,以后,9
133,人太多,9
134,觉得,9
135,两个,9
136,一整天,9
137,园内,9
138,基本,9
139,方便快捷,9
140,娱乐,8
141,优惠,8
142,大部分,8
143,主要,8
144,直接,8
145,机,8
146,有意思,8
147,现在,8
148,水,8
149,太棒了,8
150,热闹,8
151,不会,8
152,游乐场,8
153,玩玩,8
154,啊啊啊,8
155,摩托,8
156,完,8
157,鬼,8
158,每年,8
159,气氛,8
160,基本上,8
161,期待,8
162,过瘾,8
163,附近,8
164,看看,8
165,节目,8
166,人多,8
167,节日,8
168,好吃,8
169,打卡,7
170,一直,7
171,年龄段,7
172,游客,7
173,免费,7
174,景色,7
175,一点,7
176,去过,7
177,不要,7
178,夏天,7
179,久,7
180,那天,7
