,名字,频数
0,不错,183
1,玩,157
2,非常,110
3,好玩,110
4,项目,84
5,水上,68
6,乐园,64
7,开心,62
8,孩子,61
9,很多,54
10,带,52
11,挺,49
12,长隆,45
13,喜欢,43
14,方便,40
15,里面,39
16,刺激,39
17,值得,29
18,小朋友,28
19,地方,28
20,排队,27
21,游玩,26
22,小孩,25
23,园区,23
24,哈哈哈,23
25,体验,21
26,适合,21
27,超级,21
28,有点,21
29,大人,19
30,挺好玩,19
31,时间,18
32,太,18
33,好好,18
34,下次,18
35,广州,17
36,比较,17
37,晚上,17
38,携程,17
39,特别,17
40,价格,17
41,设施,16
42,一定,16
43,建议,16
44,一天,16
45,推荐,16
46,夏天,16
47,嗨,16
48,满意,16
49,一起,15
50,一次,15
51,玩得,15
52,便宜,14
53,朋友,14
54,真的,13
55,暑假,13
56,景点,12
57,东西,12
58,高,12
59,觉得,12
60,新奇,12
61,玩意,12
62,每年,11
63,吃,11
64,走,11
65,很大,11
66,买票,11
67,实惠,11
68,假期,10
69,水,10
70,人多,10
71,一点,10
72,贵,10
73,还会,10
74,感觉,10
75,亲子,10
76,小孩子,9
77,酒店,9
78,买,9
79,门票,9
80,不用,9
81,票,9
82,整体,9
83,购买,9
84,棒,8
85,需要,8
86,防晒,8
87,一下,8
88,优惠,8
89,尽兴,8
90,儿童,8
91,服务,8
92,拖鞋,7
93,表演,7
94,一去,7
95,漂流,7
96,世界,7
97,小时,7
98,性价比,7
99,不够,7
100,订票,7
101,游乐,7
102,哈哈哈哈,7
103,以后,7
104,一直,7
105,划算,7
106,国庆,7
107,活动,7
108,冷,7
109,最后,6
110,几个,6
111,要求,6
112,进园,6
113,喇叭,6
114,最好,6
115,住,6
116,玩水,6
117,晒,6
118,十分,6
119,经常,6
120,回来,6
121,太久,6
122,棒棒,6
123,宝宝,6
124,门口,6
125,寄存,6
126,愉快,6
127,更,5
128,记得,5
129,注意,5
130,景区,5
131,非常适合,5
132,家人,5
133,享受,5
134,马戏,5
135,工作人员,5
136,进去,5
137,基本,5
138,出游,5
139,想,5
140,很棒,5
141,陪,5
142,希望,5
143,总体,5
144,玩儿,5
145,天气,5
146,现在,5
147,主题,5
148,一家人,5
149,音乐节,5
150,下雨,5
151,过去,5
152,提前,5
153,可惜,5
154,啊啊啊,5
155,音节,5
156,完,5
157,第二次,5
158,夜场,5
159,全国,4
160,超多,4
161,只能,4
162,免费,4
163,惊险刺激,4
164,著名,4
165,游客,4
166,不要,4
167,长,4
168,入园,4
169,蚊子,4
170,旅行,4
171,玩玩,4
172,有意思,4
173,选择,4
174,久,4
175,婴儿,4
176,改进,4
177,情侣,4
178,方便快捷,4
179,面积,4
180,准备,4
181,还好,4
182,不算,4
183,部分,4
184,知道,4
185,游戏,4
186,游,4
187,那天,4
188,人太多,4
189,行,4
190,确实,4
191,高兴,4
192,好多,4
193,身高,4
194,主要,4
195,不能,4
196,好去处,4
197,雨,4
198,痛快,4
199,小贵,4
200,接受,4
201,电,4
202,米,4
203,以下,4
204,超,4
205,搞,4
206,电音,4
207,摇滚,4
208,巨轮,4
209,下来,3
210,先进,3
211,十一,3
212,半小时,3
213,不少,3
214,泳衣,3
215,精彩,3
216,滑梯,3
217,一玩,3
218,全球,3
219,风景,3
220,咬,3
221,第三次,3
222,开园,3
223,贵点,3
224,好吃,3
225,欢乐,3
226,环境,3
227,麻烦,3
228,拥有,3
229,做好,3
230,玩个,3
231,疯,3
232,明年,3
233,不亦乐乎,3
234,机会,3
235,自助,3
236,安全员,3
237,浪费,3
238,每个,3
239,不好,3
240,好玩儿,3
241,下水,3
242,食物,3
243,周末,3
244,不会,3
245,夏季,3
246,快,3
247,排,3
248,來,3
249,这种,3
250,赞,3
251,沙滩,3
252,玩到,3
253,珠海,3
254,普通,3
255,女生,3
256,晒伤,3
257,使用,3
258,岁,3
259,宝贝,3
260,今年,3
