,名字,频数
0,表演,172
1,飞鸟,138
2,乐园,137
3,不错,136
4,动物,132
5,很多,123
6,孩子,120
7,非常,119
8,鸟类,112
9,长隆,103
10,玩,90
11,小朋友,85
12,喜欢,83
13,动物园,81
14,带,76
15,鳄鱼,71
16,园区,64
17,值得,62
18,里面,62
19,开心,59
20,适合,58
21,鸟,56
22,地方,54
23,比较,53
24,好玩,49
25,野生,48
26,特别,41
27,小孩,41
28,挺,37
29,推荐,35
30,精彩,35
31,鹦鹉,32
32,百鸟,32
33,时间,31
34,便宜,31
35,游玩,30
36,近距离,29
37,体验,29
38,景区,27
39,河马,27
40,性价比,27
41,感觉,26
42,节目,26
43,真的,26
44,环境,25
45,科普,24
46,看到,24
47,方便,24
48,一天,23
49,广州,23
50,门票,23
51,种类,23
52,飞歌,23
53,知识,23
54,一次,22
55,互动,22
56,鹈鹕,21
57,太,20
58,吃,20
59,喂食,20
60,鸟儿,20
61,好看,20
62,免费,19
63,主要,19
64,觉得,19
65,接触,19
66,更,19
67,项目,17
68,有点,17
69,一点,17
70,景点,17
71,讲解,16
72,有趣,16
73,儿童乐园,16
74,高,16
75,食物,16
76,儿童,16
77,一去,16
78,下次,16
79,小孩子,16
80,演出,15
81,工作人员,15
82,火烈鸟,15
83,价格,15
84,湿地,15
85,值得一看,15
86,品种,15
87,服务,14
88,朋友,14
89,一下,14
90,贵,14
91,不少,13
92,玩得,13
93,门口,13
94,下午,13
95,完,13
96,蜥蜴,13
97,尤其,13
98,逛,12
99,还会,12
100,很少,12
101,观看,12
102,很大,12
103,世界,12
104,各种各样,12
105,钓,12
106,爬行动物,11
107,亲子,11
108,生活,11
109,天鹅,11
110,巴士,11
111,投,11
112,小时,11
113,取票,11
114,棒,11
115,鳄,11
116,好去处,10
117,不能,10
118,丰富,10
119,元,10
120,半天,10
121,很棒,10
122,大人,10
123,满意,10
124,好多,10
125,超级,10
126,环境优美,10
127,高兴,10
128,刺激,10
129,壮观,10
130,馆,10
131,度假区,9
132,游,9
133,热情,9
134,安排,9
135,丹顶鹤,9
136,现在,9
137,选择,9
138,地铁,9
139,总体,9
140,之前,9
141,震撼,9
142,娃,9
143,旅行,9
144,作剧,9
145,一场,9
146,乌龟,9
147,距离,8
148,乘坐,8
149,车,8
150,设施,8
151,宝宝,8
152,坐,8
153,园内,8
154,最好,8
155,最高,8
156,珍稀,8
157,交通,8
158,买,8
159,一起,8
160,非常适合,8
161,讲解员,8
162,走,8
163,繁多,8
164,一定,8
165,游客,7
166,比长隆,7
167,爱,7
168,进入,7
169,可爱,7
170,不算,7
171,不用,7
172,巨嘴鸟,7
173,票价,7
174,园子,7
175,整个,7
176,活动,7
177,比起,7
178,原来,7
179,干净,7
180,建议,7
181,赞,7
182,两个,7
183,为主,7
184,应该,7
185,想象,7
186,几个,7
187,人不多,7
188,愉快,7
189,远,6
190,游人,6
191,蛇,6
192,美,6
193,简直,6
194,知道,6
195,游船,6
196,入园,6
197,天堂,6
198,仙鹤,6
199,拍照,6
200,到处,6
201,人少,6
202,心情,6
203,休闲,6
204,鸟语花香,6
205,起来,6
206,快,6
207,再次,6
208,期待,6
209,有意思,6
210,随处,6
211,鱼,6
212,东西,6
213,挺不错,6
214,热,6
215,个人感觉,6
216,问题,6
217,参观,6
218,离长隆,6
219,机会,6
220,精灵,6
221,秀,6
222,多种,5
223,了解,5
224,酒店,5
225,摆渡,5
226,需要,5
227,过瘾,5
228,确实,5
229,孔雀,5
230,展示,5
231,一游,5
232,介绍,5
233,马戏,5
234,学习,5
235,合适,5
236,票,5
237,瓜子,5
238,基地,5
239,小鸟,5
240,相比,5
241,蛮,5
242,个人,5
243,已经,5
244,周末,5
245,遛,5
246,专业,5
247,区域,5
248,园里,5
249,整体,5
250,旅游,5
251,地铁站,5
252,有个,5
253,强烈推荐,5
254,大半天,5
255,十分,5
256,增长,5
257,不会,5
258,漂亮,5
259,人员,5
260,飞,5
261,专门,5
262,真是,5
263,不够,5
264,一家,5
265,希望,5
266,大小,5
267,过去,5
268,好吃,5
269,去过,5
270,进去,5
271,绝对,5
272,一家人,5
273,接送,5
274,消费,5
275,可能,5
276,悠闲,5
277,一群,5
278,看看,5
279,挺好玩,5
280,玩儿,5
281,想,5
282,保护,4
283,慢慢,4
284,一圈,4
285,珍奇,4
286,口,4
287,找,4
288,冬天,4
289,左右,4
290,朱鹮,4
291,金刚,4
292,下来,4
293,剧场,4
294,大部分,4
295,黑颈鹤,4
296,大型,4
297,餐厅,4
298,排队,4
299,分钟,4
300,旗下,4
301,接驳,4
302,几乎,4
303,大概,4
304,触摸,4
305,服务态度,4
306,娱乐,4
307,会江,4
308,本来,4
309,幼儿园,4
310,饲养员,4
311,观赏,4
312,黑天鹅,4
313,北门,4
314,照片,4
315,优惠,4
316,错过,4
317,路,4
318,小贵,4
319,携程,4
320,主题公园,4
321,欢乐,4
322,散养,4
323,好好,4
324,超出,4
325,很值,4
326,吸引,4
327,累,4
328,拓展,4
329,基本,4
330,其实,4
331,足够,4
332,天气,4
333,女儿,4
334,夜行,4
335,特色,4
336,大巴,4
337,享受,4
338,奇域,4
339,观察,4
340,唯一,4
341,龟,4
342,环节,4
343,期间,4
344,实在,4
345,现场,4
346,假期,4
347,实惠,4
348,教育,4
349,名字,4
350,很近,4
351,增加,4
352,第一站,4
353,蟒蛇,4
354,惊心动魄,4
355,摸,4
356,儿子,4
357,部分,3
358,大开眼界,3
359,游乐,3
360,成群,3
361,很小,3
362,耐心,3
363,一张,3
364,号线,3
365,站,3
366,三个,3
367,人类,3
368,不贵,3
369,厉害,3
370,坐船,3
371,一直,3
372,习性,3
373,完全,3
374,小型,3
375,乐趣,3
376,短,3
377,白枕鹤,3
378,生态,3
379,拍,3
380,停车,3
381,工作日,3
382,半,3
383,一整天,3
384,闭园,3
385,南门,3
386,态度,3
387,老人,3
388,路边,3
389,放松,3
390,齐飞,3
391,放养,3
392,活泼,3
393,内容,3
394,详细,3
395,满满的,3
396,看鸟,3
397,做,3
398,合理,3
399,偏,3
400,到位,3
401,两栖动物,3
402,树荫,3
403,见识,3
404,以前,3
405,大自然,3
406,休息,3
407,珠海,3
