,¹ÉÆ±´úÂë,2009
0,000998,9302.9
1,600265,-4452.31
2,002556,14180.11
3,002385,38759.17
4,000713,15270.08
5,002714,2158.5
6,002891,
7,600371,14882.6
8,600598,56547.02
9,000860,57530.55
10,600354,1862.96
11,600506,-12637.04
12,601952,
13,600313,-11179.97
14,603668,
15,603336,
16,300189,4833.81
17,600108,44066.51
18,002746,9899.27
19,002041,29051.84
20,002157,15734.81
21,601118,35920.85
22,002311,25820.95
23,300498,214465.51
24,002299,36139.74
25,002696,8964.1
26,002124,15141.75
27,600359,3892.82
28,002086,13300.04
29,002240,12844.49
30,600076,-80301.89
31,300094,19192.55
32,300106,4440.11
33,002200,7716.17
34,600275,-43150.4
35,000592,-49427.0
36,300087,3909.68
37,002069,46189.53
38,002234,12448.62
39,300313,914.37
40,600540,7028.74
41,600467,40082.02
42,600257,-6358.95
43,002679,1023.56
44,300262,3232.79
45,300761,
46,600097,14995.87
47,002321,15102.68
48,000798,-2369.29
49,000663,340.99
50,600975,3450.64
51,002458,12764.37
52,002688,3314.69
53,002100,18986.16
54,000735,36248.52
55,600965,5271.51
56,603363,
57,300511,
58,002505,7390.33
59,002772,
60,300143,2823.48
61,600189,17008.0
62,200992,-21510.96
