,¹ÉÆ±´úÂë,2009
0,000998,105474.95
1,600265,20129.82
2,002556,408633.7
3,002385,397537.76
4,000713,104632.52
5,002714,42871.54
6,002891,
7,600371,66533.38
8,600598,652195.32
9,000860,608711.1
10,600354,151269.66
11,600506,2308.03
12,601952,
13,600313,51960.65
14,603668,
15,603336,
16,300189,28458.22
17,600108,140248.02
18,002746,124486.25
19,002041,57911.73
20,002157,445853.07
21,601118,374267.7
22,002311,525044.51
23,300498,1672092.1
24,002299,143768.67
25,002696,44970.37
26,002124,96901.76
27,600359,203923.66
28,002086,47351.43
29,002240,89441.91
30,600076,1258.4
31,300094,110027.76
32,300106,26723.08
33,002200,49349.59
34,600275,11098.82
35,000592,32294.7
36,300087,16362.36
37,002069,151254.3
38,002234,72572.92
39,300313,3370.66
40,600540,122690.19
41,600467,52829.03
42,600257,41340.93
43,002679,8392.65
44,300262,17176.9
45,300761,
46,600097,81134.42
47,002321,93238.46
48,000798,31990.35
49,000663,35466.86
50,600975,57473.69
51,002458,36547.96
52,002688,45875.19
53,002100,207469.19
54,000735,81871.42
55,600965,52687.28
56,603363,
57,300511,
58,002505,28444.2
59,002772,
60,300143,9577.11
61,600189,127384.7
62,200992,26529.4
