,¹ÉÆ±´úÂë,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
0,000998,1549539.21,1536373.98,1297662.14,794282.07,502376.05,410522.38,383277.98,359165.45,297861.17,244194.81
1,600265,34910.1,36948.86,32245.76,32936.23,34293.99,41614.39,53807.87,49548.2,57209.9,68487.96
2,002556,818223.41,824730.21,766284.65,686664.04,594029.02,597327.07,544302.59,597150.51,546716.19,299805.86
3,002385,1890414.92,1809572.06,1925782.27,1525818.41,1384930.53,1055059.25,820646.28,570801.59,473670.13,404478.08
4,000713,260445.43,244250.05,219291.05,207286.56,186286.71,188897.15,199844.31,184362.12,184024.48,188242.1
5,002714,5288658.61,2984186.29,2404463.49,1293132.31,706753.32,411930.12,323454.31,214020.16,148863.34,89198.88
6,002891,170020.68,140734.74,100509.2,61276.4,49938.41,41448.45,30227.41,,,
7,600371,79759.99,78840.57,76677.52,74851.32,66831.53,79495.66,101312.61,103171.05,100781.18,76345.01
8,600598,784532.45,797346.67,764695.79,774225.04,723473.46,822902.53,1385243.0,1569630.78,1800247.22,1802705.04
9,000860,2202155.88,1985083.13,1841203.71,1783458.09,1589734.34,1554309.66,1378947.71,1247959.75,1033286.71,992937.28
10,600354,196466.55,212530.54,276701.11,303133.12,352736.05,368622.56,410467.76,454348.05,402550.97,334329.7
11,600506,29313.2,29945.54,29509.53,28309.84,29628.47,28778.85,30353.53,33085.09,32806.57,33199.24
12,601952,805684.65,698541.73,661055.12,400061.7,389362.3,387646.46,338440.38,304621.24,,
13,600313,308844.59,311536.1,354303.16,412177.87,376624.26,232398.31,177155.73,172617.46,77566.84,57571.0
14,603668,272638.34,213460.1,165802.92,98383.26,84888.68,62728.47,52865.28,47197.63,32574.71,
15,603336,108280.81,99935.9,80048.58,78282.84,61297.29,52859.74,46453.75,35180.6,32118.45,
16,300189,112217.71,149754.57,249138.5,323755.24,228150.67,158382.86,168358.65,158670.84,133870.12,44842.57
17,600108,878565.33,855936.62,804096.6,779600.95,761938.8,761082.97,650113.01,611502.6,447369.36,428655.99
18,002746,431766.49,309838.14,258002.1,248525.95,145110.9,149831.81,137632.54,118164.02,,77816.93
19,002041,368815.47,375847.72,444598.87,446748.27,429757.74,394933.47,349500.72,294187.05,228762.21,195262.28
20,002157,3083245.07,2132562.57,1661574.19,1225894.79,976351.6,731195.57,598375.45,446680.14,337315.87,282420.72
21,601118,1682987.93,1493272.34,1336818.81,1369413.76,1289157.89,1226776.31,1201744.11,1112351.58,1113265.28,1253197.53
22,002311,1885431.52,1736566.39,1316045.67,1028789.01,818466.76,766578.03,739156.47,613923.82,422519.12,328966.39
23,300498,6557892.45,5395001.66,4903958.57,4143815.12,3273496.56,2533693.03,2393885.79,2191096.47,1740332.2,1199890.08
24,002299,1527879.85,1465578.73,1320213.53,1141214.97,1096083.91,1003855.78,820084.9,662937.32,504281.66,320429.24
25,002696,296519.16,371744.03,358067.7,191420.12,188619.35,170746.05,134245.0,123653.2,64847.48,52871.5
26,002124,753438.33,622876.64,444315.86,249009.22,196730.23,188456.48,185219.87,116785.5,107215.22,90773.31
27,600359,175478.46,213987.09,255510.18,280265.58,274528.23,244805.85,191199.5,217038.31,382131.69,404216.08
28,002086,374801.19,416238.54,404761.35,384309.48,376774.48,264633.56,251538.31,234167.58,212531.45,188585.46
29,002240,488340.44,366351.7,295679.09,252243.61,240202.82,268137.73,278351.43,305253.45,326017.9,334781.29
30,600076,658865.29,586545.92,489028.16,362629.4,366246.59,78379.18,55833.39,40247.05,33875.97,31720.64
31,300094,487282.42,492109.7,393210.97,308842.99,259605.9,274902.09,254524.21,210475.96,206765.96,207950.08
32,300106,104937.1,113746.49,242290.35,277289.29,227087.75,174881.03,128012.86,110017.01,83110.04,73628.38
33,002200,361410.78,355990.31,332179.61,343681.43,288463.23,241572.78,153597.47,106824.8,86734.94,104644.67
34,600275,22345.28,23919.23,32995.01,32505.05,38579.33,36666.74,31479.87,34550.66,281787.84,289619.51
35,000592,425101.57,430376.88,434482.17,417057.45,379789.56,214535.58,182690.28,182524.12,182260.26,192689.99
36,300087,172968.89,190617.72,158756.06,143045.86,110779.62,104831.51,100241.29,100208.83,88784.74,61903.3
37,002069,300928.21,355434.01,394401.58,447423.16,448538.71,487824.32,531569.52,492181.92,441996.44,330441.35
38,002234,326123.0,262430.3,227548.22,217868.67,180905.7,218977.28,181273.27,206240.15,211499.6,110806.7
39,300313,114339.92,140303.09,69094.96,85536.88,91191.28,61001.24,53437.44,42517.32,17360.06,14917.92
40,600540,161838.87,190527.73,225724.65,252721.01,291794.72,336095.35,265701.82,241694.46,286257.35,253629.78
41,600467,638080.42,595704.2,579342.47,531821.97,513510.43,474024.43,418339.9,385267.86,368947.99,212101.51
42,600257,170497.8,180267.67,168251.0,167734.16,150357.62,141865.29,136797.23,129890.1,119814.69,120174.19
43,002679,167311.43,170464.54,168219.57,166950.99,165300.67,138910.88,137481.32,94098.92,37807.26,33069.72
44,300262,591976.52,536865.56,443613.36,356392.37,176804.99,118968.9,113467.22,72155.48,49817.21,23525.33
45,300761,856569.92,569203.87,413356.76,342834.77,272585.57,222114.2,201373.8,159673.57,,
46,600097,257423.53,230672.31,180114.08,173601.01,117651.09,135121.88,129990.96,132105.32,133341.35,123388.37
47,002321,834471.36,906406.86,806265.32,620409.28,496352.19,427609.23,360677.41,276925.14,234043.46,227981.81
48,000798,112472.52,104617.59,102682.27,89958.31,85150.43,92903.61,93460.98,89149.53,92425.96,78574.41
49,000663,257723.61,278859.65,416326.19,432394.12,398367.14,137084.76,135472.47,145991.21,151158.52,152157.54
50,600975,163284.08,159409.21,177778.64,191483.52,169085.76,128646.36,120305.81,92058.37,75403.99,67861.87
51,002458,414085.92,231062.36,214439.15,193706.09,175479.57,182451.13,156319.09,152591.32,127113.76,122224.15
52,002688,334427.88,333535.41,295991.19,266233.76,188520.26,151862.79,101687.35,100337.28,67083.91,62392.28
53,002100,1115446.41,850874.22,587285.08,449081.79,380526.18,301110.04,287640.07,252706.69,230061.77,190579.7
54,000735,654483.02,631525.15,618218.55,618465.65,450260.16,425000.71,428647.63,435273.0,362735.5,291146.55
55,600965,273879.58,281345.68,241159.82,260254.6,201634.1,123918.23,116212.18,69603.76,64345.79,63782.75
56,603363,492166.79,330502.95,253808.36,171170.63,134823.21,92686.23,71044.68,,,
57,300511,384185.02,389250.28,383637.65,246058.23,177476.15,154866.04,146344.79,140996.6,79738.69,
