,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,上海,2,不错 还挺好,1111253099,mIJ360570548,3.5,4
1,北京,1,演员的演技很好,1111253061,南城小陶,4.5,3
2,无锡,1,差点意思🤷‍♂️🤷‍♂️🤷‍♂️,1111251034,天空之城lv,3.5,5
3,临泉县,,那个时代背景下的悲哀和热情,1111253015,QSI374679860,4.5,3
4,绍兴,,归来了张导。,1111250167,Eph634813875,5.0,2
5,中山,,不错的片子。,1111249381,mobcn,4.5,1
6,银川,1,可以哦。。。,1111248187,11,5.0,3
7,聊城,,真是垃圾透顶，浪费我的金钱，浪费了我的时间，老张怎么会拍出这样的烂片啊,1111248150,vfV344281057,1.0,3
8,象山,1,一般吧，没有特别的感觉。,1111225771,Bsl64161996,3.5,2
9,南阳,,整个电影就是导演的个人风格也是完成导演的愿望 对于普通观众来说 不算太有看头,1111245715,JUL381051459,3.5,2
10,西安,1,说实话要不是因为张艺谋和张译，这电影就是个垃圾？情感线在哪里吗？男女主人公就惺惺相惜，实在觉得现代人都是墙头草，这么高的评分估计冲着导演和演员给的，对电影只能呵呵了，这辈子看过最差的电影,1111219181,董提莫,0.5,2
11,绥化,,可以去看看 挺好的,1111225680,Yy小于同志,4.0,2
12,太原,,演员演的是很不错的，就是剧情不怎么地,1111240718,五月石头521,3.5,4
13,介休,2,没有想象中好看，感觉情节没有什么此起彼伏，看得我瞌睡,1111228472,陈炘,3.0,3
14,无锡,,挺好，有深度的电影,1111245331,Ebi404856432,4.0,3
15,太原,1,还可以哦 推荐,1111219111,BMW73X05,4.5,4
16,成都,,很棒！看到最后泪目了。,1111240557,不如吃茶去Tea,4.5,2
17,金昌,2,"很久没有看过这么真实又动人的电影了，刘闺女真的好可爱 又让人心疼，刘浩存演技太好了，妹妹未来可期！
",1111240552,小南lx,5.0,2
18,深圳,1,好看，真实，感人,1111218923,小余米人,5.0,2
19,普洱,,非常OK  OKOK,1111247028,一只积极废猫,5.0,2
20,绵阳,,还不错吧！！,1111241333,kLR537908523,5.0,3
21,合肥,1,三利谱。。。。,1111241314,smartcoopqq,5.0,2
22,包头,,很有寓意，好看的,1111228376,HwC168352164,5.0,2
23,北京,2,没看懂放啥东西,1111226498,小黑人,5.0,2
24,开封,1,这种风格的电影只有张大导演在拍在传承吧,1111240266,沧海他年,4.5,2
25,温州,1,很不错，好看。,1111219028,Stormspirit11,5.0,2
26,深圳,1,配角很真实。22号里广西的蔗糖那一段是张艺谋为了感谢广西？,1111238910,有风塘,3.5,1
27,合肥,,演员演技都很好，但可能个人情结问题吧，不大能get到点………感觉有点太平淡了，平淡的过分了点😂,1111238850,ViT123654434,3.5,2
28,鄱阳,,很不错了哈哈哈,1111239551,射手座wf,5.0,3
29,长治,2,粉粉粉粉张译,1111226409,阿兽,5.0,2
30,成都,1,嗯嗯分许沣是事实,1111236990,Juicekidy,3.0,3
31,厦门,2,演绎细腻，好剧，张导作品品质保证。,1111239441,蒲公英,5.0,2
32,南昌,1,很有意义的一部电影,1111239423,戴西祥,5.0,2
33,许昌,,还行…………,1111239381,梁倾杯_,3.0,4
34,滁州,1,"生而为人
谁的内心没有洞口
只不过洞口的深浅、位置不一样罢了",1111238643,没风的地方,5.0,2
35,长沙,,一般般，将就看吧,1111235773,mvA133860818,3.0,2
36,固安县,2,历史的时代已经远去，关于胶片的热爱已经掩埋在黄沙下，但是至少应该有这么一部电影，去铭记。感谢张导，致敬好演员！,1111187971,木紫lisa,5.0,2
37,上饶,,看完影片后，就一直回忆电影，猜想了一种可能，是不是他女儿已经死了……刘闺女说那她怎么没被压死，他很气愤踹了一脚，，当时我以为就是生气，气她这么乱说话，，后来又想着，都劳改出来了，怎么不去找他女儿，还去找胶片。。,1111235757,FGD259150504,2.5,3
38,日照,,影片很感人给张艺谋导演点赞，给张译点赞！,1111218659,R叔叔啊,5.0,2
39,烟台,2,真心不好看，一点故事情节没有，这是拍些什么玩意，这么多年看的最失败的一部电影了，真心不建议去看,1111239267,A蒋常娟,0.0,2
40,邯郸,1,"那一刻，电影是崇高的。

它是带着光环的梦想，是灰扑扑的现实中，最有光亮的片段。",1111239201,冯得轩,4.0,4
41,南京,2,挺好的吧，就是剧情略显沙雕，演员演的略用力，而且很容易出戏.....只是我个人感觉，不喜勿喷,1111239160,吉吉国王,4.0,1
42,西安,,不仅央视在关注中小型企业，国家也一直在落实中小型企业的帮助项目[拳头],1111235610,dRm851441096,4.5,3
43,沈阳,,还不错 演技很好,1111239142,A请叫我陈晨,4.5,2
44,上海,,张译带血的回眸是那个疯狂时代锥心刺骨的印记,1111239129,Amf146776283,5.0,2
45,重庆,,越来越不会讲故事,1111234736,kfn615964592,2.5,3
46,郑州,1,整个故事比较平静的,1111226251,咋吃都不胖吧,5.0,4
47,北京,,"今天是我们的第一次见面，紧张-激动-难舍难分。你真好闻哈哈，咱们吃了“减脂火锅”，还抓了我们的大儿子。
我爱你",1111137882,王哈哈007,5.0,5
48,景德镇,1,"演技在线，细节也处理不错。但剧情比较单一
所以看着有点无聊",1111239099,小胡狠忙,0.0,2
49,武汉,,不是很好看的感觉,1111234686,upB477575301,3.5,3
50,南昌,,挺好看有点意思,1111225224,EXE701159455,3.5,2
51,上海,2,很好看，我觉得张艺谋的电影还是值得票价的。,1111238289,蕾-kapok,4.5,1
