,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,深圳,,夺冠！看得让我又重回忆我那个年代在电视上看的激情感动！咱中国女排的精神。,1111250290,WWWW斌斌,4.5,2
1,石家庄,,整体感觉不错，基本能清晰女排的困难，付出与收获应该均衡发展，女排加油💪,1111253047,Fke727018608,5.0,2
2,北京,,非常棒，很感动！,1111248244,Chloelei,5.0,3
3,西安,,很好的一部作品,1111225793,缘修百年,5.0,4
4,长春,,很好看，非常喜欢,1111247731,hJG886600241,5.0,3
5,长春,1,好看，中国女排精神值得学习,1111228598,lewchen,5.0,2
6,北京,,挺好的片子！！,1111249042,darong2014,5.0,2
7,佛山,,好看！振奋人心！！！,1111240746,rMn190310876,4.5,2
8,长沙,,买错了电影票了  和女朋友一起看的  还不错,1111240660,饿惹昂,5.0,2
9,台州,,还行不错挺好,1111242550,Uql245467541,3.5,2
10,成都,,带娃儿去看的,1111226523,gnj284067834,5.0,2
11,凉山,1,爱奇艺拼团****。套路套路大家不要拼团就是套路,1111242333,打不死881,5.0,3
12,海口,,好看，十分好看哦,1111226466,mini小菜菜,5.0,2
13,湘潭,1,还行 比较平静吧 但是很积极向上！没有特别多的笑点！但是是一个很励志的，可以鼓舞我们的士气！也体现了中国女排坚持不懈！勇于向前不怕苦的精神！女排精神！！！,1111239495,楠泽,5.0,6
14,银川,2,不错，很感动！,1111137918,红格大衣,5.0,1
15,集美,,好看。   ,1111235863,IU知恩啊,5.0,4
16,石家庄,1,少个点，感觉少个点,1111235857,yYr247030853,3.5,4
17,济南,1,过两天去中间价格表,1111236392,xMR766008473,4.0,2
18,包头,1,练过体育的人真心感受到了很多！,1111236368,出人头地的呐喊,4.0,2
19,自贡,2,很好看，值得推荐,1111233776,RNz892295561,5.0,3
20,西安,,为奋斗不息的精神加油！人定胜天,1111232984,IMx209403118,4.0,2
21,高州,1,好看，感动了,1111232247,mjjb4,5.0,1
