,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,宜宾,,特别的感人肺腑,1111250160,zq2221301406,3.0,2
1,高密,,超级好看。 ,1111248278,你乖点了,5.0,1
2,上海,,gooood,1111249186,哈哈船长1989,4.5,2
3,顺德,,好回来好好好,1111240936,用户名aaaaa,4.5,1
4,莆田,,发VB你明年,1111242379,妖精的尾巴yj,5.0,1
5,哈尔滨,,不错 哈哈哈哈，,1111245013,故事的小黄花8827,4.5,2
6,酒泉,,反映社会一个人的爱国,1111239727,DKU935091100,5.0,1
7,南昌,,好 kkkk,1111238549,yvv啊,4.5,2
8,怀化,2,感动，平凡人的不平凡,1111238368,颖崽music,5.0,2
9,大连,2,太感人了 哭死,1111238109,wxt芒果,4.5,2
10,重庆,,太好看了，感人至深,1111232816,Toby25,5.0,1
11,高密,2,非常非常棒！,1111234019,_qq5wz1425362525,5.0,1
12,太原,,可能我们没有在那个圈子里，不知道的病的药那么贵，不知道世界上还有这么一群人在垂死挣扎的边缘,1111233287,GXF非文,5.0,3
13,绥化,,和孩子一起看的，很感动，真心不错,1111205741,pbO451591360,4.5,1
14,宁波,,很好看很支持,1111227746,yQe369536007,4.0,2
15,北京,,电影很好看……值得深思的点很多！,1111227709,SZ1103,5.0,1
16,鄢陵,,章宇饰演的黄毛，太令人印象深刻了，一个小人物形象被刻画的淋漓尽致,1111230353,DRe105183759,5.0,2
17,长沙,2,👍️👍️👍️👍️👍️👍️,1111231110,HLT884,4.5,1
18,青州,2,很好看，很有启发意义,1111205674,晴er560,4.5,3
19,常熟,,不真实，大假了,1111224964,zigang817,3.5,1
20,常州,1,好看，加油。,1111230135,A名人天下,4.5,1
21,成都,,很不错的一部电影～演技爆了,1111187573,pdx325391388,5.0,2
22,深圳,,最差电影，垃圾,1111206564,欧米萝,0.5,1
23,潍坊,,挺好看的啊！,1111221685,WIx887314852,5.0,1
24,武汉,,还不错…………,1111220846,周苒123456,5.0,1
25,常州,,太好看了。。。,1111222476,一往情深sun,5.0,1
26,北京,,7月份不错的电影,1111224162,A哥哥哥哥哥,5.0,1
27,北京,,好看 推荐！,1111187466,长情的告白99,5.0,1
28,沈阳,2,非常好看。值得看,1111197715,BUs792788074,5.0,1
29,中山,2,不错，这类题材的电影很不错。,1027974151,根正苗红rzrz,5.0,1
30,南川,,好看，挺感人,1111222218,米妮小汪,4.5,1
31,,1,好看，国产片的上佳之作，反映的现实直戳泪点，全局无尿点。,1029454313,你微笑时好美จุ๊บ,5.0,1
32,仙游县,1,好看非常好看,1111197606,aidd.81,5.0,2
33,枝江,2,有啥别有病，没啥别没钱,1111220292,yangshu20041110,4.5,2
34,泰州,2,可以，还不错,1111217685,iSQ105107658,4.5,1
35,嵩明县,,好看超级好看,1111214856,HYU925466032,5.0,1
36,中山,2,挺好的.挺感人的,1111220007,Autismiracle,5.0,2
37,三河,,特别感动，里面的人演的很棒,1111187319,psh205658487,4.5,1
38,三河,,特别感动，里面的人演的很棒,1111216444,psh205658487,4.5,1
39,大洼,2,哭了好几次，值得观看,1111217433,kgz252969955,5.0,2
40,保定,,特别值得一看的电影,1111206058,铅笔下的日记,5.0,1
41,上海,,很好挺不错喜欢,1111191908,翰林学士呦,5.0,1
42,长沙,2,不错 不错。,1111197338,胖子快减肥！！,5.0,1
43,嘉兴,,好看呗就完了,1111215333,开饭吧好么,4.5,2
44,东莞,,好的，还行，还行,1111213383,iaE990729696,4.5,2
45,长春,1,很好，很好，就是好，总之很好,1111137452,文兰绍君,5.0,1
46,遵义,,感人至深，看哭了！,1111214138,hejing285601426,5.0,1
47,大连,,很感动   ,1111212688,RDJne,4.5,2
48,武汉,,大家可以通过线下直接团购，同时我们也开通了直播频道，秋冬即将到来，大家可以线上直接下单，我们快递物流配送到小区。实实在在给大家提供方便！,1111188786,Wpw700125640,4.0,2
49,西安,,国内不多的好片,1111197157,lucilE7,4.5,1
50,嘉善,2,有共鸣强烈推荐,1111209829,winwing1020,5.0,2
51,长春,1,好评!!!!,1111191646,立华界,5.0,1
52,西安,,好看，值得推荐,1111211525,yaoqian168,5.0,1
53,天津,1,感人 非常感人,1111211514,ITC740638375,5.0,1
54,永川,,好电影，值得一看,1111212454,凯里.安德鲁.欧文,4.5,2
55,来宾,,嗯 还可以吧,1111212284,HOE167287637,5.0,2
56,广州,,还可以非常好看。,1111191561,KpT157335806,4.0,2
57,郑州,,太好看了，看哭了都,1111188635,sDG462871638,4.5,3
58,镇江,1,"不错很好
很好看",1111208375,rKM418841252,4.5,1
59,吴江,,还行，挺搞笑,1111209251,GTD800241995,3.5,2
60,吴江,,挺好的 不错,1111209092,萝莉yer,4.5,1
61,吉林,2,挺好的，剧情,1111189471,冷诺夕,5.0,1
62,秦皇岛,,这部电影值得一看,1111203735,梁凇淇,5.0,2
63,苏州,2,好，非常满意！！,1111201907,ONLYlike三三,5.0,2
64,长春,,很好看看看看,1111189431,ALIANGYUMENG,5.0,1
65,牡丹江,2,写实，真的是部好片子,1111156917,暖暖哒aa,5.0,2
66,保定,2,内容很好，值得深思,1111201535,夹缝的人生,5.0,1
67,梁平,,推挤，值得去看,1111202527,iHq664754792,5.0,1
68,南部县,1,好看    ,1111199386,拓海kon,4.5,1
69,合肥,1,很不错的影片，值得推荐,1111198848,大作家韩至剑,5.0,1
70,成都,2,哦嘻嘻嘻嘻o,1111202345,小凉凉sun,4.0,1
71,邢台,,作品与演技和结合，发人深思，希望有更多针讽时弊的思考者和智者。,1111202319,xFg221592885,5.0,2
72,大连,2,很感动，看哭,1111201099,留住清晨阳光,4.5,1
73,天津,2,年度最佳电影～,1111195930,ruiruibaobei,5.0,2
74,南阳,,非常现实，徐导很有理想的,1111199158,张倩主任,5.0,1
75,泸州,2,"引人深思的一部电影，演员都选得超级好，看哭了，后来也反复看过几次
",1111195881,秋月儿妹子,4.5,1
76,阜阳,,有啥都不如有一个好身体，有些人病不起呀。,1111201004,夏日荷花156,5.0,1
77,濮阳,2,哭成狗，这个电影真的太有意义了,1111201003,胖儿呢,5.0,3
78,重庆,,好看，发人深省,1111188142,喜之郎的喜羊羊,3.5,1
79,顺德,,好看的电影！,1111198529,sdxxxxlf,5.0,1
80,广州,1,感人，感动的痛哭流涕,1111195685,老三,5.0,2
81,惠州,,还行，挺感人的,1111194640,qMY784158395,5.0,1
82,佛山,,喜剧的核心是引人发笑，这部电影的梗玩的还算是密集，而且安排合理，整部电影基本上笑点不断，能够有的放矢，不会虎头蛇尾或者在高潮处戛然而止，整部电影的观影感觉是轻松的，更难能可贵的是电影的梗终于不是千百年老梗了，基本上都是网络上流行的元素，观影过程中也比较亲切。,1111178390,雨珠哗啦啦,4.0,1
83,平顶山,,良心剧，真是,1111169962,张小妮儿！,4.5,2
84,金华,2,不错挺好看的,1111194443,sun664160,4.5,1
85,上海,,喜欢，非常棒,1111168916,qxa766457867,5.0,2
86,毕节,,不怎么喜欢，但还是很好,1111193716,bGe654812664,4.0,1
87,郑州,1,太好看了！！！,1111178276,泽昊要长个！,5.0,2
88,沈阳,2,经典 不愧是徐峥,1111196191,gZw312836341,5.0,3
89,呼和浩特,,不错的呢  指,1111196137,j念壹抹浅笑,4.5,1
90,宁波,,整体感觉非常有代入感。是个不错的电影，值得观看。,1111194201,oCO298884087,4.0,3
91,北京,,很感动，看哭了,1111156587,RKc538905452,3.5,1
92,张家口,1,非常好看，搞笑,1111193550,扶朕回寝宫,5.0,1
93,大连,1,还凑付，一般般,1111171686,sun34857276,3.5,1
94,西安,2,挺现实的！！！！,1111193392,许迎花32,5.0,1
95,济宁,2,双鱼玉佩会17847,1111168720,假装不靠谱。,5.0,2
96,徐州,,看了几遍了，看一次笑一次，好看，值得去看,1110425882,Zlf471444348,5.0,2
97,东莞,2,好 很好 非常好👍,1111185708,小仙女98765,5.0,1
98,开封,,挺有感触的，大赞👍🏻,1111184835,lUD145266734,5.0,1
99,驻马店,1,很不错的电影,1111184816,艺道演艺,5.0,1
100,沈阳,,荆江街道办事处理,1111185427,ROp200526195,3.0,1
101,福州,,情节不错很好,1111185376,Cii304972625,5.0,2
102,宜兴,1,很好看，不错,1111182525,zhoulei9999,5.0,1
103,济宁,2,不错！挺好的,1111177920,等待585,5.0,1
104,桐庐,,一般般，本人不太喜欢,1111179571,H123456ML,3.5,2
105,枝江,,好看极了，完美！,1111156130,DrG600082346,5.0,1
106,濮阳,1,讲真，良心剧,1111180387,sunnyery,4.5,3
107,来宾,,真的很不错！,1111168035,罗飞5912,4.5,1
108,深圳,,好看，很好看,1111174962,石健650,4.5,1
109,成都,1,国产佳作。。,1111174926,别说了请我吃外卖,4.0,1
110,衡阳,,喜欢冬天，喜欢猫，喜欢你⌇🍊,1111175784,北冥白沐,5.0,2
111,佛山,,不错，很感动的,1111161322,dCG717805366,5.0,4
112,成都,1,很不错、继续保持,1111152739,jaT674222255,5.0,1
113,阜阳,,看哭了，给个满分,1111151693,Aqe284115978,5.0,2
114,广州,1,还可以还白哈哈哈，,1111175319,学车吗,4.5,1
115,衡阳,,好嘛好嘛你看,1111149781,QuanLQ,5.0,1
116,邯郸,2,情节感人，药神,1111167865,florajunolee,4.5,2
117,荆州,,电影太感人了，值得一看。,1111166623,mqljlp,4.5,2
118,长春,,非常好，感人,1111163805,uTk240741021,5.0,1
119,广州,1,豆瓣9分应该不过分吧,1111152357,肥谦,5.0,2
120,郑州,,ting h,1111162999,DJD474396682,4.5,1
121,郑州,,经典好看非常不错,1111159898,蕊儿fighting,5.0,1
122,北京,,富贵CF咯的是弟弟,1111160890,三土干工,4.5,1
123,昆明,1,感动，一个小商贩，从为了赚钱养家，升华到为解决部分需要帮助的人所付出的努力,1111164106,烨境,5.0,1
124,银川,,很好，下次再来,1111160736,李金倡,4.5,1
125,合肥,,值得深思。好看,1111163079,aUR788808528,5.0,1
126,北京,,不错的剧！导演很棒👍🏻,1111162476,龙先生ljz,4.5,1
127,,1,还行。不要炒作，抱有太高期望，会让人失落。,1027964308,想咋咋,3.5,1
128,长沙,,挺好看的一部电影,1111151024,BPR854347081,5.0,2
129,咸宁,,不吐兔兔来了句,1111159515,晚来天欲雪鱼鱼鱼,5.0,2
130,蚌埠,2,看的第一部电影 超级棒,1111162303,失落,5.0,2
131,济南,,很好的电影，会是一个巅峰,1111160427,IaU913141832,5.0,2
132,宜兴,,没有辜负之前的期待，很不错,1111125456,纯黑色灬TK,5.0,1
133,郑州,1,好的，很可以,1111154959,重拾李,5.0,1
134,成都,,"非常励志的电影
",1111158223,YT2864327221,5.0,1
135,银川,,给人感触很深,1111134745,qjY576333698,5.0,1
136,石家庄,,好看，挺喜欢,1111154583,红酒雪梨44,5.0,1
137,成都,,很人性的一部,1111148867,iJz502097095,5.0,2
138,深圳,,好看好看，赞赞赞,1111154207,liuruoer,5.0,1
139,东莞,,不错，现实题材,1111153184,Ymu695053998,5.0,1
140,晋中,2,真的不喜欢自己喜欢,1111154109,购物767598,5.0,1
141,绥中,,还不错，，，,1111145913,KzX869970459,4.5,2
142,西安,,我觉得很感人,1111150175,你好一兀,5.0,2
143,大连,1,你得去看，才能有切身感受,1111150105,中远李玉萍,4.5,1
