,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,西安,,太感动的一部电影,1111226807,缘修百年,4.5,4
1,兴化,,大型旅游景点记录片,1111248154,缠缠痴痴,1.0,1
2,成都,2,加油，很好的剧,1111249304,小满怪,5.0,2
3,昌乐,,80后看懂的当下,1111245788,UkJ374382456,4.5,2
4,大邑,,好极了啊啊真的很好看,1111249238,可可楽楽,5.0,2
5,海口,,好看，不错！,1111249220,rLk737778080,5.0,2
6,武汉,,很好看，好看,1111247714,dYR865747317,5.0,2
7,惠阳,,看这个电影触动非常大,1111248052,wVO908664157,5.0,2
8,渭南,1,很不错，有些情节很感人,1111248045,淡然毅笑,4.5,2
9,太原,,挺好看的，！,1111247679,枭景,5.0,3
10,深圳,1,值得一看！我想再看！,1111245711,jdpysy,4.5,2
11,上饶,,"很好看
噢，",1111225758,pob958869664,5.0,2
12,天津,,还不错，有马丽的地方就有笑点,1111225749,wJA550199301,4.0,4
13,郑州,2,不错 可以体验,1111248021,Mlx581093789,4.0,2
14,耒阳,,还行，总体不错,1111241824,V荒凉,5.0,2
15,东莞,2,很好看好感动,1111245646,WZb462855943,5.0,2
16,连云港,,满意，无论是电影还是环境，都不错。继续光顾,1111249074,Tnf642694789,5.0,1
17,怀仁市,,少有的好片子，很好看,1111237063,头卡硬了,4.5,1
18,上海,,不好看    ,1111247517,bhC710196994,0.5,2
19,汕头,1,还可以！！！,1111219183,陈岳鸿,4.5,2
20,长沙,,好看坎坎坷坷,1111242981,滴答滴答桐,4.5,2
21,咸阳,,🙂🤡👏🏻,1111219169,YY98022,4.5,2
22,佛山,,好看！非常喜欢,1111242816,rMn190310876,4.5,2
23,大足区,,还是比较喜欢,1111219146,NKQ984160611,4.5,3
24,东莞,1,好看   只能这么说了  是真的好看,1111219129,淮杨💦,4.5,1
25,漯河,,很好看好电影,1111241468,三姓家奴.,5.0,2
26,郑州,,完美巨作！！！,1111247119,yHb795400196,5.0,2
27,杭州,,非常好看的电影,1111240558,HuYun726,5.0,4
