,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,许昌,,自己一个人去看的,1111247801,yiE796820615,4.5,3
1,普宁,2,还可以，一般般,1111226784,H.10-7.25,4.0,2
2,通化,,很好看，很喜欢,1111249199,YJ19830317,4.5,2
3,汕头,1,还可以！！！！,1111247513,陈岳鸿,4.5,2
4,黔南,,挺好的...,1111237007,JbC140812030,5.0,1
5,赣州,,还可以比较喜欢,1111240706,适者生存F,4.5,2
6,荆州,,不是很好看 看不懂,1111226621,hCc155075761,2.5,2
7,芜湖,2,感觉有点啰嗦...兜兜转转的还是那么点事,1111219125,Rain,3.0,2
8,徐州,2,还可以吧！。,1111241375,Eqm707245340,4.5,1
9,景德镇,,挺好看的 看哭了,1111240404,许璇0507,4.0,1
10,武汉,,还不错的电影,1111245023,R世界那么大,4.0,2
11,无锡,2,还可以，值得去看,1111239504,Zd1056752543,5.0,2
12,本溪,,不错不错，剧情有些许的混乱,1111226361,bje698116295,3.5,2
13,焦作,,电影非常不错的,1111235369,小仙女的饲养员66,5.0,2
14,介休,2,七夕节的爱情片💏 意蕴深刻，为了你的生，放弃我的生,1111236357,Z,5.0,2
15,成都,1,很不错哦/好看,1111232970,孤独成瘾1234,5.0,1
16,重庆,,可以不错👌👍,1111234270,dRF368996297,4.5,2
17,西安,,特别感人 很好看,1111236075,Httttys,4.0,2
18,鞍山,,不好看真的不好看,1111232774,鞍山你明哥,5.0,1
19,上饶,,好看，喜欢爱了,1111137783,庸人5281,5.0,2
20,驻马店,,还可以111,1111230685,lyh916538112,4.5,1
21,衡阳,,呃...一般吧,1111230521,宝贝哇唧唧哇,3.0,2
22,安阳,2,这部电影真的特别好看，看的时候给我看哭了，我是和闺蜜一起去看的，看完我对我闺蜜说我会一直等她的,1111205761,你是幸福也是命,5.0,1
23,青岛,,无没看看姐姐,1111232190,辰宝777,2.5,2
24,济南,,还可以，✨✨,1111218154,qxb325245173,3.5,2
25,徐州,1,没啥看头，侮辱观众智商吗,1111230180,高级佛爷,0.5,2
26,东莞,,非常好看的电影,1111205606,PAN199200208,5.0,2
27,沈阳,1,嗯不错的一部,1111230019,KyT139866449,5.0,2
28,常州,,还不错，个人感觉不一样,1111197981,松月闵,4.5,3
29,南阳,2,"17岁的林格说 我是林格啊你不记得我了吗
27岁的林格说 你没事太好了 我是林格
47岁的林格说 我该回去了路上小心
最后林格说 你别多想只是一个故事
你看人都是越长大越胆怯
在你不知道的地方爱你很久很久",1110248910,廾匸°,5.0,1
30,廊坊,2,很早看了，最近才来评论，真的是看哭了，可惜这种爱情这可能存在电影中，还有点遗憾,1111227272,汀,5.0,1
31,兰州,1,好看  完美  ,1111227244,三岁愁,5.0,2
32,兰州,1,好看  完美  ,1111229020,三岁愁,5.0,2
33,太原,,挺好的。有感觉。哈哈哈哈哈哈哈,1111222863,MZG1118,2.5,1
34,福州,1,哭了  呜呜呜呜,1111197921,好饿饿了呜呜呜,5.0,2
35,腾冲,,整体还行吧。,1111210421,丫丿、丫,3.5,3
36,南昌,,一般般吧啦啦,1111224583,silong18,3.0,1
37,泗洪,,"还可以
！。",1111227073,UpF105656252,4.5,2
38,江津,,整体剧情还行不拖沓,1111222737,GRP584562822,4.0,2
39,张家港,1,很干净13131313,1111227030,cFF175924624,5.0,2
40,开封,,很不错，值得去看！,1111222666,chz740512255,4.5,2
41,南昌,,一般般吧。 ,1111137666,菲莱鬼了鬼,2.5,2
42,吕梁,,很感人，一直在哭,1111220645,三生雨浸,5.0,2
43,青岛,,好看值得一看,1111216896,FZE753489401,5.0,1
44,娄底,2,还行吧，冲着男主去的   ,1111221071,Y恩1987,3.5,1
45,上海,1,很好看，很有意义,1111220265,翠花呀s,4.5,4
46,桂林,,嗯       ,1111210066,野猫H.,3.5,1
47,潢川县,,还不错    ,1111214978,留陈。,4.5,2
48,阳江,2,还行好看台了,1111214961,大灰姑娘,4.0,2
49,贵阳,1,剧情繁琐无味，太多重复太瞌睡了，要不是因为前十月份没什么好电影你评分也不会这么高,1111191978,༻҉ꦼ随遇ꦿ҉᭄而安ꦼ҉༺,5.0,2
50,湘潭,2,Yy一起 还可以,1111191903,瑶宝5360,3.5,3
51,太原,,哈哈哈哈，哎,1111206036,Aje153494899,5.0,2
52,乐清,,一般 还行吧,1111217289,RQA836654258,2.5,2
53,宜兴,,挺好看的，很感人,1111197380,迷惘的杰克,4.0,2
54,哈尔滨,2,挺好看的……,1111215412,cln闹闹,4.5,2
55,广州,,还可以还可以,1111217197,PmO335869013,3.5,2
56,安顺,,期望不要太高就不会太失望,1111213643,VCv231316795,5.0,2
57,怀化,,很感人。。。。,1111188946,陳鹤婷,4.5,2
58,南京,,好看，好看，真好看，非常好看，特别赞，给力,1111217080,lYZ820055124,5.0,1
59,平南县,2,虽然看得一头雾水 但是这部电影真的触动我的心了,1111214405,别凶,3.5,2
60,淄博,,很喜欢 很喜欢,1111212831,星星派来的仙女吖,5.0,2
61,长春,2,不会再有林格,1111209962,A-常译文💕,5.0,2
62,乐清,,太好看了！！,1111209775,啊樂1,5.0,1
63,合川,,看完哭了。感动,1111188700,sTk874149000,5.0,2
64,张家港,,讲真一般真的不现实,1111197094,PEACHNAI1,3.5,2
65,佛山,1,反转的结局比较喜,1111211262,vNJ353343692,4.0,5
66,西安,,我的心都是你,1111211235,bnz917285951,2.5,3
67,成都,,还可以，挺感人的,1111211176,搜寻记忆2016,2.5,2
68,成都,,可以的哈哈哈,1111212119,你爸爸叫我爸爸,5.0,2
69,洛阳,2,真好看啊！！,1111188585,小陈今天一米九,5.0,2
