,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,哈尔滨,2,OKOKOK,1111258971,深深深蓝523,3.5,2
1,武汉,,睡着了。。。,1111257708,Rua597473362,2.0,3
2,平湖,1,好看咯额头大,1111260133,树上躲着一只猫嘤,4.5,2
3,佛山,,很喜欢这种电影,1111200192,McZ201354321,4.5,2
4,青岛,,挺好看的   ,1111259384,洋yang小yang洋,4.5,3
5,西安,,好看呢，很喜欢,1111260009,ZEO255307928,5.0,2
6,南宁,1,还行吧。。。,1111256637,cavy24,4.0,2
7,大连,,很好看，推荐,1111254792,闲人虾哥,4.5,2
8,嘉兴,,挺好的，去看,1111228956,YJ倚江楠树,3.5,2
9,郑州,,不错确实不错,1111228867,Tosh1987,4.5,2
10,无锡,1,还可以   ,1111253353,tjT446132153,4.5,2
11,龙岩,1,不错的，很好看的,1111253284,咚咚2014,5.0,2
12,晋城,1,一般吧片子就是这,1111249375,gfQ894587172,2.5,2
13,阜新,,好看精彩好看,1111245859,AZt927720004,5.0,2
14,宁波,,很不错呀哈哈哈,1111240555,cOq309117639,5.0,2
15,西安,,很好看的一部片子,1111242453,IiL134416066,3.5,2
16,哈尔滨,,你是谁呢。我,1111241160,S运动先生,5.0,2
17,西安,,值得看的一部电影，可能我的要求太高，7分,1111238421,Hjz989416404,3.5,3
18,重庆,1,还可以╮(￣▽￣)╭,1111230822,AuIler,3.5,2
19,天津,2,演员演技棒棒哒！不错的片子,1111230602,Style0727,4.5,2
20,深圳,1,又一巅峰制作,1111187674,_qq5zt1398505598,4.5,2
21,济南,1,欢迎光临胡邻道啤酒屋,1111230492,Yxx803,5.0,1
22,本溪,2,"很好，不错
",1111210625,jam843791142,4.5,1
23,广州,2,好看 我觉得很棒,1111229468,李歌颂,5.0,2
24,南安,,🌝🌝🌝🌝,1111210560,UQn567658303,3.5,2
25,佛山,,古天乐的电影我都追，演技杠杠的,1111210490,两碎,4.5,3
26,佛山,2,看完电影还是很精彩的，古仔好帅的,1111223784,雪舞菲杨,4.5,2
27,太原,2,质量赞，效果好，非常非常很满意！,1111223771,我是坏坏坏女人,5.0,2
28,重庆,,挺有感觉的，还不错,1111221872,EZf878211530,5.0,3
29,西双版纳,2,古天乐永远十分,1111220927,xin娜！,5.0,3
30,峨眉山,,港片扫毒2，不负众望。好好看。,1111223510,DianeDuang,5.0,2
31,佛山,,非常港片味，但也就这样了,1111221670,5479d47e-c7e661,3.0,2
32,本溪,2,不错挺好看的,1111222436,蜡笔小琪833,5.0,2
33,北京,,很好看，推荐,1111224147,长情的告白99,5.0,1
34,张家港,,好看 …………,1111197688,gJC789125065,4.5,3
35,淮安,1,挺不错的电影,1111216908,2015，带我去旅行,5.0,3
36,石家庄,,嗯嗯嗯嗯，好看,1111220357,七七是琪琪阿,5.0,3
37,淄博,2,可以 好看哦,1111215857,一隻1996,4.5,1
38,西宁,1,观影体验还不错，挺好,1111217325,啊…西吧啦,4.5,2
39,西安,1,来咯来咯某可口可乐,1111213714,小虎还乡7,2.5,2
40,庆阳,,不错不错  古天乐一如既往的帅,1111137492,岁蛮蛮Z,5.0,2
41,奉化,,有很强大的特效,1111188937,多利卡东,5.0,3
42,锦州,2,很喜欢 真的是大爱,1111214007,洛冉汐,4.5,2
43,金华,,还行 还算可以吧,1111213107,Dec531076560,4.5,2
44,六安,, 港片贯有元素和套路，没什么太大惊喜，剧情比较紧凑，代入感很强,1111207791,乏善可陈882,3.5,3
45,西安,,好看好看的电视剧,1111209465,bnz917285951,1.5,3
46,保定,,不错，很好看,1111204991,卡拉一，小丸子,5.0,2
47,南昌,,挺好看的，哈哈哈,1111209197,你比美者更美，霏,5.0,2
48,盘州市,,其实也还可以,1111187004,Tlx155396487,4.5,2
49,南昌,,瑟瑟婆婆黑乎乎是,1111207232,A28942809,4.5,2
50,昌邑,2,只记得当时觉得好看，看过之后给人的印象不是特别深刻,1111188435,翠花www,3.5,2
51,临沂,2,还不错，很久之前看的！,1111203656,mMD155004091,3.5,1
52,成都,,还行吧。。。。。,1111189375,ojv773851002,3.0,2
53,舟山,1,每次要写着呢的很麻烦,1111178682,sasakkl,5.0,2
54,武汉,,可以，很赞的,1111203137,呀呀呀阿妖,4.5,2
55,北京,1,一斑斑。港式电影,1111199340,其实我是你爸爸。,3.0,3
56,天津,,值得一看的！,1111199068,nashideniwo,5.0,2
57,沭阳,,很好看非常不错,1111194695,iUB442569854,5.0,2
58,杭州,,忘记啦啦啦啦,1111189027,CattRuan,4.5,3
59,连云港,,还好吧。  ,1111178393,安儿baby1105,4.5,2
60,运城,2,喜欢超级棒，古天乐的演技永远在线支持,1111168874,ewg312129912,5.0,2
61,中牟,1,辣鸡电影，不要看,1111194273,yuzhou008,0.5,2
62,青州,,非常好看，很好,1111168868,vuj301472012,5.0,4
63,岳阳,,好看值得推荐,1111193116,usQ200643310,4.5,2
64,曲靖,,一般般，主要是去看古天乐哥哥的,1111186594,爱莎北鼻,2.5,3
65,淄博,1,挺好看的。。,1111184974,原来43,4.5,3
66,哈尔滨,,不错的电影，我很喜欢,1111183708,长汀消防,5.0,1
67,桐乡,,挺好看。。。,1111156397,大龙330tc,4.5,3
68,普宁,,为了几个偶像来的 爱了,1111183131,Aqp578591769,5.0,2
69,柳州,1,一般般吧，预期差了点,1111184056,gzj404988475,3.5,2
70,深圳,,刺激，华仔太帅了,1111182166,李苏柚,4.5,2
71,太原,,好看的扎西得嘞,1111181109,Mark张宣,5.0,2
72,温岭,,不错，喜欢看,1111173904,gHf283004685,4.5,3
73,庆阳,,特别不错非常好,1111176477,euW366018870,5.0,2
74,开封,,很热舞沸腾。,1111174739,小生大胜,4.5,3
75,大连,1,想学习演技的可以看看，想当导演的就算了。,1111172827,MK,3.0,3
76,阜阳,,好看，真好看,1111173314,Aqe284115978,4.5,2
77,台州,,。zzzzz,1111149751,introuu,5.0,2
78,广州,,情节简单了点,1111167402,烟斗阿兄1978,4.5,2
79,桐乡,,方便，实惠。,1111166302,a陈晓峰a,5.0,2
80,广州,,很好看！！！,1111162930,Nrm167362561,5.0,2
81,威海,,挺好的，看看吧,1111159868,tbK711730186,3.5,2
82,河津,,劲爆，都是喜欢的演员,1111149218,qPe988150451,5.0,2
83,杭州,,好看，非常喜欢，,1111131959,glm495420261,5.0,2
84,企石镇,,好看，港剧风格，影帝飙戏，看得很过瘾,1111157312,JSB598013483,4.5,1
85,成都,,时间哪有什么岁月安好,1111154795,暁吜,4.5,2
86,惠州,,非常完美的一部电影,1111133570,ebg450303588,5.0,1
87,东阳,1,还行😁刘德华,1111148514,无羽亦飞,5.0,2
88,黄山,2,没有第一部精彩,1111148293,tiramisulou,3.5,2
89,广州,,针不错，针不戳,1111134322,Lruri8147,5.0,2
90,淮安,1,完美，很不错呦👍,1111141852,Haha51789,5.0,2
91,济南,2,很好的 一个,1111139983,魏宥熙,5.0,2
92,上海,1,我还是挺喜欢的 值得推荐 下次还会购买！,1111141643,矿石镇伙伴,5.0,2
93,深圳,2,我很喜欢看港剧，这部戏我感觉还可以，特别喜欢古天乐，希望他继续演戏,1111139790,happy（林）,4.0,2
94,衡阳,,好看，已经忘记了,1111093953,aYB944913923,4.5,2
95,嘉善,,好看这波不亏,1111141381,PVH535517834,5.0,1
96,乌鲁木齐,2,嗯呢。可以看看,1111141068,郑女王大人,5.0,2
97,资阳,2,还不错，感觉很好,1111140148,坪坪123,5.0,1
98,德州,,我还是比较喜欢这样的电影,1111070205,GfE310038990,4.5,2
99,福州,2,很好的体验，,1111136253,Candy小么么哒,5.0,2
100,徐州,,挺好的 喜欢,1111135500,stY995130766,5.0,3
101,连云港,2,"还可以、挺好看
",1111111705,爱小燕燕,4.0,2
102,青岛,,还不错，值得,1111121118,风筝脱线.,4.5,2
103,阜阳,,好看的，毒毒毒,1111132784,INW117891146,5.0,2
104,武汉,,很好看，推荐,1111130515,小怡辽,5.0,2
105,钟祥,2,很喜欢这部电影,1111130493,zxtvsudan,5.0,2
106,容县,1,演员演技很到位很真实很动人，剧情很好,1111129328,不朽笙歌i,4.5,3
107,南京,,激动人心好看,1111114465,北辰没有星,5.0,3
108,苏州,1,好看死了啊啊啊,1111132125,L鱼丸,5.0,2
109,沈阳,1,挺喜欢的，还不错,1111123996,jLb673878889,4.5,2
110,松原,,好看，好看，,1111124717,xbY560531620,4.5,1
111,上海,,很喜欢看电影,1111093255,wTB916569893,5.0,2
112,佛山,,非常精彩。。,1111119372,秋星辰,5.0,3
113,海西,,还不错还不错，可以,1111116548,oQZ434672547,3.5,2
114,沈阳,,动作节奏很好,1111118185,Tzp759610013,5.0,3
115,哈尔滨,1,不错。。。。,1111102084,Alex950201,4.5,4
116,马鞍山,,好看，值得票价,1111113370,vDW193004991,5.0,1
117,哈尔滨,,挺好的下次光临,1111097396,Kla683950471,4.5,2
