,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,永康,1,李鬼碰李逵。和迪士尼碰瓷碰成**。。。。,1111192416,人男小,2.0,4
1,天津,,还可以！欠缺一点,1111172312,妞宝栗子,3.5,3
2,呼和浩特,2,片子比较一般,1111148235,ISm198390570,3.0,3
3,玉溪,1,差不多，国产的支持一下,1111115048,CrooKed摩登,4.0,2
4,大同,,孩子喜欢的影片,1111052852,piU260645848,5.0,1
5,深圳,,非常的喜欢哦,1111033223,一一独一无二,5.0,2
6,北京,1,不好看，给小学生看的,1110868994,NMc126309432,0.5,2
7,成都,,木兰：横空出世，画面感优美和谐，有巾帼英雄的魅力，也有身为女子不输男儿的担当，小小的故事从中也能发现很多大道理。这是一部值得看的电影。,1106775205,十三,5.0,3
8,乌鲁木齐,,"（我是一名迪士尼的粉丝）这部电影虽然说是蹭热度，但是凭那一句拍中国人自己的花木兰，我决定还是期待一下，毕竟还是希望国漫越来越好，但愿导演能对的起他打的宣传语。
   上映后回来打分，导演HB",1092534705,三杉麂鹿,1.0,1
9,淮北,2,就是个打着花木兰幌子实为谈恋爱的电影。看到一半给我看困了。无语。,1110679837,Audrey阿黎,2.0,1
10,湘潭,,以为是神仙姐姐演的那个,1110634893,lBc476221950,3.5,2
11,本溪,,支持国漫.❤️,1110542117,iWh942346062,5.0,2
12,扬州,,和朋友一起去看的，旁边好多小朋友，哈哈哈哈，一起看的时候可激动了。,1106673491,aPp373394695,3.5,2
13,阳江,2,有点，无聊。,1110465472,RPv402156669,3.0,1
14,中山,,不错，挺好看的,1110443910,fsT248194686,5.0,2
15,天津,2,挺不怎么样！,1110393935,_qq2wd1344172957,1.5,3
16,吉林,,一部动画片。,1110348022,JDB310808384,1.5,2
17,乌鲁木齐,,很好看，值得一看！,1110325670,xjgot吃喝玩乐,5.0,2
18,北碚,1,体验感很好！,1110302299,gno29993306,5.0,2
19,洛阳,,豆瓣上都3.4了，看来好评都是花钱找人刷的，就这？,1095410471,空帮瓦,0.5,2
20,贵阳,,孩子还挺喜欢看的。,1110196743,huangmingyu_2008,3.5,2
21,合肥,1,好看不错！建议看看！,1110196514,fPr707141368,5.0,3
22,成都,2,给妹儿买的，还不错,1110168965,ayazai,4.5,2
23,阿拉善盟,2,今天穿了一双老想去找你的鞋👠,1110165802,道日娜559,5.0,3
24,长沙,,带着小朋友去看的，小朋友比较喜欢。,1110135406,wanghehust,3.5,2
25,济南,,人物精美，格局不够，没有大场面,1110118788,gEh906784965,3.5,2
26,慈溪,,好看的我认为,1110075704,Jikx0411,5.0,2
27,合肥,,无法描述的烂！说是新编，但怎么就成爱情片了？无语,1110036198,QPJ711714878,0.5,2
28,平湖,,好看不错😊,1110002390,Du2165,5.0,1
29,成都,,还好吧，儿子很喜欢,1109971398,UfD549365241,5.0,2
30,慈溪,2,武打画风很精彩，画面很唯美,1109925653,KYl551858346,5.0,2
31,郑州,2,中途拿出了手机在玩游戏 实在是无聊,1109898831,不必打扰nn,1.5,2
32,广州,,支持国产动漫！,1109838658,hda196400099,4.0,2
33,淄博,1,还不如之前动画片,1109869113,白笙1027,2.0,1
34,广州,,比较新颖，国漫越来越好了,1109825828,IjH811695352,4.5,3
