,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,淮安,2,好看又搞笑又让人感动到不行……,1111239151,仙,5.0,2
1,石家庄,1,剧情真的烂，别看,1111238430,彭志伟：18932924093,0.5,1
2,西安,,"电影赤狐书生真正吸引到我的是一只小狐狸，无论是开场眼含泪珠的真狐狸，还是真狐狸之后 演员李现所饰演的白十三狐狸，只能说白十三这只狐狸给了我太多惊喜，从未想过一只男狐狸会如此的灵动，小表情做得如此到位，我真是太喜欢李现白十三这只狐狸的灵动劲儿了！

白十三这个角色在电影赤狐书生贯穿了狐狸的成长，狐狸的友情，狐狸和其他妖精的兄弟情…

狐狸白十三虽生活底层，但却软萌乐观不服输，那句“可以试试嘛”真是调皮又机灵～
李现饰演的白十三，他的卑微出身，他作为一名差等生，他是如何在众狐妖中一路披巾斩棘生存下来，又是如何在这一路中认清自我，收获友情，收获成为狐仙过程中最大的意义…",1111235580,uUD820549686,5.0,1
3,常德,2,还可以吧。就,1111239103,Bss109337227,5.0,2
4,哈尔滨,2,期待了很久的一部电影，很喜欢农农，作为一个新人演员来说已经很优秀了，也希望大家多多支持，农农很值得✨ 电影也很好看好评好评！,1111226245,笑颜,5.0,2
5,江门,2,好喜欢他们俩…呜呜呜,1111238409,無.,5.0,3
6,宜良县,1,侮辱智商，剧情尴尬，演技尴尬，基佬片，呸,1111226243,ttjy95,0.5,2
7,绥化,,"进京赶考的书生和一心取丹的赤狐，题材确实有些老套，但是故事内容新颖，代入感很强，前有笑点后有泪点，层层推进，是部合家欢的电影。
电影中彰显的友情爱情都是现实生活中人们所向往的，书生王子进在进京赶考途中遇到本别有用心的白十三和英莲，用自己的善良与真诚打动了他们，为兄弟爱人不顾一切愿奉献自己所有 这对从小受人歧视的土狐白十三和命运凄惨的孤魂英莲是最最难得与珍贵的，所以最后英莲了却遗憾重入轮回，白十三放弃成仙，用毕生修为复活王子进，其实说是打动，倒不如说是王子进的善良与白十三和英莲内心深处的善良共鸣 ，将心比心，互相救赎，百年前的缘分，历经种种，如今安安稳稳一起生活 ，结局温馨治愈。
总结:值得一看",1111236594,Enemy9898,5.0,2
8,萧县,1,看完还想看！！！,1111236583,Z K H,5.0,2
9,东莞,2,一般般 中间烂了,1111239070,森女想去海边,4.0,1
10,福州,,服务我们的小哥哥真的太棒了 ,1111226233,Ucriil,5.0,2
11,咸宁,1,不好看😔 ,1111218593,锐狼研磨材料砂纸砂带圆砂,0.0,2
12,邯郸,,"特别喜欢里面的一句话
你是我最珍贵的朋友~",1111235534,小朋友,5.0,1
13,广州,1,不错😊，好吧😊,1111235528,超人小哥2,4.5,2
14,重庆,2,狐仙现  太帅了 ,1111109510,Sunshine🌻,5.0,1
15,锦州,1,陪我老婆来看你，我居然陪着我老婆看另一个男人，诶，李现加油，别辜负我两口子对你的期望。,1111236539,传奇华夏,4.0,2
16,象山,2,挺好看的，很感人,1111187909,Purple,4.0,2
17,中山,,挺好看的。我觉得 是关于兄弟情的吧。 最后那段还挺感动的。,1111238359,小胖的vx,5.0,3
18,鞍山,,笑点十足，不错,1111239030,UBy288635119,5.0,2
19,宾阳,1,无聊的剧情很老套,1111239022,Caesar Gattuso,0.5,2
20,西安,1,竟然被剧中有一段告白的情节打动了，和女主一样默默泪流。,1111238349,华年俊阳,5.0,5
21,上海,2,蛮不错的，后面看哭了,1111235504,FCf561911875,5.0,4
22,上海,2,就是想看部轻松搞笑让人乐一乐的片子，这部完全符合我的要求。另外，久石让的音乐果然不一般。,1111238346,gPY779532117,5.0,2
23,金昌,,还行吧，就是电影院太热了,1111234647,咖啡的咖啡的心情,5.0,2
24,洛阳,,还行吧。。。。,1111225212,帆子静静99,4.0,3
25,佛山,1,不好看，太无聊了,1111225207,福哥,1.5,2
26,南京,2,整部片子有笑点有泪点,1111236498,叶YJQQ,5.0,2
27,西安,2,不怎么好看，不能吸引我，剧情不好，就最后有点感动，感觉李现演的有点浮夸,1111233988,清澈如宇,3.0,2
28,奉化,1,一般吧，可能对它期许太高了,1111235470,Sunny5677,4.5,4
29,通化,1,杨紫呢，，杨紫呢，，，她在哪？,1111238297,feW713564074,4.5,2
30,沈阳,,比较没有新意的剧情，，，,1111233986,袁祺公,3.5,2
31,晋江市,1,不好看，很难看，剧情杂乱无章,1111228068,｢嘿,0.5,2
32,武汉,1,人间真善美！,1111235462,@一哥,5.0,2
33,长春,1,还不如诛仙，真的挺失望,1111236481,天真的认真到较真,2.0,4
34,恩施,2,好看，李现和陈立农的演技都在线，哈尼克孜也让我面目一新！值得期待，是部好片！,1111238286,杨俊,5.0,4
35,重庆,,剧情感觉有一点点狗血，将就看吧。,1111226198,zhangleikeai,3.0,4
36,宿州,,作为现女友是奔着李现去的，哈哈～但是看完感受很深，悲喜交加，李现和陈立农演技也是杠杠的哦～推荐！！！,1111238280,李现的漠尘,5.0,2
37,南京,1,还行还行，感觉后面剧情有点绕不清,1111238275,温医孙邦耀,3.0,3
38,南京,2,"很好看啊啊啊 为彼此放弃生命的友情太催泪了
",1111236464,星河思长安,5.0,2
39,驻马店,1,还可以冷静冷静,1111233962,起个名字都,5.0,1
40,乐山,2,不好看 特效真的辣鸡,1111234596,一万年太久了,0.5,2
41,广州,2,二刷🎉＃赤狐书生 我的男孩第一次演戏不管最后结局如何我都希望他得到的指点比指指点点多,1111238243,桃浦粉.,5.0,2
42,深圳,1,我是来看现男友的,1111218543,源源,2.5,6
43,成都,,烂片，真真切切的,1111238236,NFO543094724,0.0,2
44,揭阳,2,可以，剧情不错,1111234583,🎀010,5.0,2
45,南通,1,还行吧，国产电影慢慢进步吧,1111233937,Rgv327095652,5.0,3
46,河源,2,超级超级棒！,1111238235,乖不乖,5.0,1
47,深圳,1,"好看啊，剧情很赞加分，男主也很帅，莲花精很美，满意
",1111228037,GTM 水晶劳力士18818677777,5.0,2
48,六安,1,男主换书生，女鬼换九尾狐就好了,1111236427,听海,2.0,2
49,金华,1,有点感染人头,1111235404,不离不弃张皓然,4.0,2
50,南宁,2,好看👀，和小姐妹去看的，电影院里笑声不断，李现好帅，特效好棒，小狐狸好可爱！,1111233922,嗯啊哦,5.0,3
51,中山,2,我爱你，从前到以后，周周复年年,1111233909,邓宝宝🌻专业减肥,5.0,3
52,宜昌,1,真是浪费生命,1111236408,₤李现～百货-快递-,0.5,2
53,武汉,,剧情又臭又长，老套路……,1111238198,Iyaho,1.5,3
54,慈溪,1,挺好的 舒服的结局,1111234542,叫我博哥ii,4.5,3
55,晋中,,烂片，给好评的是刷的吧,1111187880,goodboy2013,0.5,1
56,临沂,,整体来说，我还是被感动到了，前面笑到抽，后面感动哭，特效有一说一也是真的用心了，看得出来演员在吊威亚的动作戏上是下了功夫的，打戏流畅的很，看着不出戏，扮相也都是好看的很。至于为什么不打满分是因为我觉得剧情还是俗套了些，属于一看就知道后面怎么发展的类型。但整体不影响观感。,1111238187,关木易,4.5,2
57,嘉善,1,还不错，吧。,1111238184,想留不能留AQ,4.5,1
58,合肥,2,没有片子还不错，值得一看。,1111234527,九月菊0919,4.5,2
59,淮南,2,很好看的呀，轻松解压，喜欢喜欢,1111235367,你也想见长岛雪,5.0,2
60,余姚,2,还可以的吧！,1111238177,Ymn233077519,4.0,3
61,保定,1,好看也催泪的,1111234524,👼,5.0,1
62,唐山,1,陈立农要演技没演技，还面瘫，剧情还賊烂，比较适合当网络大电影，你上映电影院干der啊，这么多宣传我以为多好看呢。太low了！,1111226150,RYl131264870,0.5,3
63,长沙,2,"一刷：李现的小狐狸好生动，那些小表情，表现的太好了吧～承包了我所有的笑点。后面的剧情有点急促～但是配乐和特效真的太棒了！！！
二刷：看着李现的白十三还是觉得演得太棒了！小狐狸的活泼拿捏得刚刚好～认真的看了剧情～原来我看第一遍的时候忽略了这么多小细节～每一幕的出现都有它的铺垫～每一步都是冥冥之中。",1111236354,LeMoN,5.0,1
64,宿州,2,还不错，只是剧情比较老套了,1111233842,Memory,3.5,2
65,滁州,2,好看，最后更好看,1111218507,exO820803383,5.0,2
66,天津,2,特别搞笑，最后差点看哭了，颜值都好高,1111040534,lyk他爹,5.0,1
67,福清,,这个好好笑.,1111225154,Qsi108742553,4.0,2
68,江都,2,挺好看的……搞笑……感动都有,1111137853,QVy147883432,5.0,4
69,郑州,,棒棒哒～喜欢～,1111234484,超凡大师小琦琦,4.5,2
70,成都,2,好看个屁，简直就是浪费时间。没看完，反正我提前走了,1111228005,図怪,0.5,4
71,安阳,2,剧情有搞笑部分也有感人部分，狐妖之战动画也很精彩，演员演技到位，给人带来快乐的同时也感受到了人与狐之间善良，心中无恶，所以快乐。李现演技很好！,1110823383,路瑞萍,5.0,2
72,上海,1,可能最近张嘉文直播看多了，一看开头满脑子都是狐臭我想啸,1111236313,尼古拉斯大锤,1.5,2
73,中山,1,不知所为 烂,1111233809,轻浮小舟,0.0,3
74,重庆,1,两分给哈妮克孜，其余烂的不能再烂，故事雷，造型雷，演技雷，刷新了我对明星为了捞钱的认知。,1111187867,霜戚,1.0,1
75,东莞,2,蹦着李现 农农和耀庆哥去的。剧情没有想象中好看,1111234461,ASweetCat7,3.5,1
76,广安,1,等了半天的网红没等到，等到一对书生与狐狸的cp,1111234452,陈昊然,3.0,2
77,昆山,,挺有趣的，也很感人,1111235307,Mdy485434664,4.0,4
78,兰州,1,好看，感觉可以,1111236286,寄个夏天给你,4.0,3
79,长春,1,跟如果声音有的一拼啊！,1111238105,子  曰,0.5,4
80,武汉,1,好看 演技特别炸裂。王子进演的好。爱了爱了,1111233795,咕咚要饿死了,5.0,1
81,长春,2,电影非常精彩，有欢笑有感动，子进和十三为了彼此更好做的互相牺牲，互相担当，真的很感动,1111235294,李红敏,5.0,2
82,深圳,,主题空洞，二位男角沒有凸显浓厚兄弟情,1111236274,gxi176568354,2.5,3
83,青岛,1,非常的好看，也挺可惜最后没有成仙,1111235292,从小就皮[机智],5.0,1
84,唐山,2,还可以，解解闷,1111238094,VMO971996934,3.5,1
85,石家庄,,ting hao,1111238091,佬了个贰,5.0,1
86,广州,2,好看好看，大家快去看哦😊 现现和农农都表现得很好哦,1111236268,苏花花,5.0,2
87,北京,1,怎么那么好看！,1111235285,uZZ988076872,5.0,2
88,苏州,1,浪费我人生中美好的两个小时,1111238076,苏,0.5,2
89,玉山,2,后面好尬啊！哎,1111225134,颜小胖QAQ,4.5,2
90,贵阳,,只能说还行吧，有些剧情说不太通,1111226112,zm0247,3.0,2
91,崇州,,不是很好看，,1111233756,野肆,2.5,1
92,长春,2,三观很正 喜欢 ,1111236242,. 猪嘻嘻的王哈哈,5.0,2
93,莱州,,故事情节有点跳跃 不过都有关联 有笑有泪 很棒 推荐推荐,1111233740,鱼渊115,4.5,1
94,长丰县,2,好看，为了李现来的。,1111226106,陈玲,5.0,2
95,乌鲁木齐,1,妥妥的烂片。,1111225130,於,0.5,2
96,荆州,1,很少去评价，但是这次是差评,1111236231,Sunny,0.0,2
97,渭南,2,挺好看的，，。,1111238059,Laymanྉ,5.0,2
98,玉环市,2,还不错，幽默喜感,1111210981,陈明霞Fiona,5.0,3
99,顺德,1,整体来说还是不错的，梗不算老旧，还是值得一看,1111234380,建辉物业阿奇13425296567🇨🇳,4.0,1
100,孝感,,服道化都很不错 拍得也很美 就是故事的逻辑不能自洽，故事线混乱，感情线平淡。,1111218474,YfK224376356,1.0,2
101,汨罗,1,难看的啊！！！！,1111234376,奇点,0.5,2
102,上海,1,一般般吧，也就一般,1111234373,叶子,3.5,2
103,石家庄,,很好的一部电影。电影中的特效，音效都非常好。李现饰演的狐仙灵动活泼，重情义。将狐仙这一角色诠释的淋漓尽致。作为第一次演戏的演员陈立农来说他饰演的书生王子进也是有很多可圈可点之处，是个很好的开端。剧中各位演员都将各自的角色诠释的非常好，是所有演员以及导演团队的付出换来的。电影情节丰富，此起彼伏，强烈推荐。棒棒哒,1111187851,aZb560750440,5.0,1
104,营口,2,好看，愿真心待人，也可换他人真心。,1111218471,羽溪,4.5,2
105,阳江,2,一般般，跟我的期待有点出入 ,1111218470,夜爵,2.5,1
106,利辛,,soso，一般,1111218468,李宇航哇,2.5,2
107,南昌,1,书生捧读感太强了,1111238009,蒂诗尼  夏楠,1.5,2
108,沈阳,2,不知道为什么那么多人说不好，我看了感觉拍的挺不错啊，特效做的也可以，剧情前面搞笑，后面还挺感人的，结局还挺好的，小狐狸开开心心和书生一起生活了，只是可惜了莲花精了,1111234347,你又丑了呀,5.0,3
109,东莞,,影片有笑点，有泪点，不错,1111236173,EMG918544254,4.5,4
110,宣城,,好看 也很好笑,1111210962,aAm650336934,5.0,2
111,上虞,1,白十三和王子进才是真爱吧。被他俩的友谊所感动。欠缺的是，我觉得很多情节没交代清楚。看完整部电影虽然也能明白，但是总欠缺点。,1111232994,爱斯特拉二狗,3.0,2
112,长清区,2,垃圾电影。。,1111226073,🌸爱辰美妆高端护肤🌸,0.5,4
113,太原,,期待农农的第一部电影,1110218022,Justin未公开老婆,5.0,1
114,普兰店,,前部分很高笑后部分很煽情,1111218445,爱你的宋哥哥,5.0,2
115,凯里,2,不知道为什么两大男人演戏我却看得眼泪掉下来😭 ,1111235175,.,5.0,1
116,滦州市,,挺好的，最后那块挺感人的，,1111235167,富贵儿,5.0,1
117,深圳,2,电影院不错够大，画质杠杠的，音色也不错👍 👍 👍 ,1111236129,小屁孩,5.0,1
118,淄博,2,有笑有泪，有骗有爱，有帅哥有美女，有爱情有友情，有虚幻有现实,1111225087,阿K,5.0,2
119,重庆,,钱多可以看看…根本没啥值得提炼和推崇的点,1111226055,.꯭꯭何꯭陶,3.0,1
120,乐平,2,喔，李现我爱了,1111236123,🥑,5.0,2
121,沈阳,2,不错，剧情幽默，值得一看,1111218434,DVQ648391279,4.0,3
122,曲靖,,还行吧，，，,1111232963,VIJ802829004,3.5,2
123,宁波,1,台词不行，故事奇怪,1111232961,放牛地牧童,2.5,1
124,建水县,,主角但凡是那个花魂也不至于这点分啊！,1111235140,le等饭吃,3.0,2
125,长春,1,电影蛮不错的,1111236099,倔强^-^,4.0,2
126,温岭,1,八分刚刚好，故事情节跌宕起伏，人物性格刻画鲜明，有搞笑有高潮有感动有低谷。总体向善，真心换真心，是一部值得看的片子！,1111233596,我是半仙～,4.0,3
127,昆明,2,很不错，期待李现新电影,1111235117,吴虹,5.0,3
128,重庆,2,很好看 李现很棒演技也很OK,1111235116,女 亭-,5.0,3
129,台州,2,好看，为了看陈立农来的,1111234252,宝贝囡06,4.5,3
130,霸州,2,剧情简单明了，就像人与人的相处，唯有真诚才是相处之道,1111233587,Emily,5.0,3
131,西安,1,一般吧，然后没有了,1111236087,Search丶楠,2.0,4
