,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
0,益阳,,还可以哦，有点没看懂,1111249674,jnC334813111,2.5,3
1,咸宁,,一般，不怎么样,1111248443,一疯一癫,1.5,1
2,西安,2,不错，值得观看,1111226913,木子751225,5.0,1
3,宁波,,好看，都把我看哭了,1111249558,jGk539807308,5.0,2
4,通辽,,非常好的一部电影,1111249538,东北丶鸡爷,5.0,1
5,深圳,,战争军人坚持不懈的精神，很值得我们后代人学习,1111253039,H520韩,5.0,2
6,滕州,,体面的 。。。。。。,1111225871,刘信LiuXin,4.5,2
7,南宁,,不错，这类题材可以多拍，只是叙事手法让人看着费神，这一块感觉体验不是很好,1111250161,JzV922420694,4.5,2
8,临沭,,索然无味～～,1111249460,AcFunCN,2.5,2
9,武汉,1,拍摄手法重叠的部分过多,1111219266,SuperJan5,3.5,2
10,厦门,2,非常值得看的片子,1111219263,Ruby1377,5.0,2
11,宝应,,还不错，看了有感动,1111247963,萌萌薇晓哚,5.0,3
12,文山,2,"
再写五个字就能发布了",1111228672,CEpoa,3.5,2
13,大冶,,好看，比较有意义,1111245868,Ugz990430133,4.0,2
14,西安,,非常满意的电影,1111248159,缘修百年,4.5,4
15,成都,2,很好的电影，建议观看,1111249303,小满怪,5.0,2
16,淄博,1,好看.很感人,1111225784,一生之中...,4.5,2
17,张掖,,非常好看，非常震撼。,1111241966,谁的年少不轻狂H,5.0,1
18,无锡,1,不好看…………,1111241953,炮炮车馆,2.5,3
19,惠阳,,内容真实有效,1111225765,wVO908664157,5.0,2
20,灌云,2,特别好看 感觉有爱国精神,1111245718,UwS919686242,5.0,3
21,深圳,1,好看，想再看！,1111245709,jdpysy,4.5,2
22,太仓,1,"剧情可以给我们一直身临其境的感受，但是我好像中了月读一样看到一个老外死一次又重新再死一次又死一次，最狠的开炮的时候三个人被炮弹打成血浆反复播放，好晕。
原来剧情其实就一点点，时间都用在了不同角色的视角上，每个角色都放一遍当时发生的事。说实话看的挺晕/:,@@ 的   。应该给三星的多给一星是请的演员我都喜欢给感受到了当时战争的残酷",1111247640,苏丹,4.0,3
23,盘锦,2,向英雄致敬   也向参加过抗美援朝的爷爷致敬,1111248010,WYH1314kkxx,4.5,3
24,上海,,环境不错，观看了上午的场次，人数很少很安静，不错的体验机会,1111240957,knF175366591,5.0,1
25,兰州,,各种重复   差点意思,1111245582,蘇子墨,3.5,2
26,深圳,2,好看      ,1111247519,你的涵！,5.0,2
27,重庆,,好 好看 喜欢 可看,1111242938,爱吃的南方菇凉,4.5,2
28,黄冈,1,很不错哦！你值得拥有。,1111219175,胡涂一刀,4.5,1
