,旅行者类型,昵称,地区,时间,标题,评论
0,家庭,Alicengws, ,2019年12月27日,"除了看动物, 还是看动物","入园后搭缆车到天鹅湖站, 在途中, 可望到下面的野生动物, 有些车卡是水晶透明的, 看看你的彩数, 到达后, 最好到小火车站坐火车, 动物近距离的在旁边无遮无掩的给欣赏, 落车后, 再行入各区观赏不同的动物"
1,家庭,Wanderer21245438870,北京市,2019年11月24日,适合自驾游览,"带小朋友来这里看动物, 建议开车来, 自驾可以更好的接近动物拍照, 视角和体验也会好一些, 除此之外建议自备些吃的, 尤其是孩子的, 园区内全是油炸食品, 小朋友没得吃"
2,家庭,aya971104, ,2019年8月25日,"原本觉得坐缆车看动物是一个很大的噱头, 但其实整体的距离是有点远的","原本觉得坐缆车看动物是一个很大的噱头, 但其实整体的距离是有点远的, 其实有点失望, 但坐缆车看动物是挺有趣的, 只是没有像影片拍的感觉距离这么近"
3,家庭,happytrip852,香港,2019年8月1日,舒服游动物园,"酒店套票包括两天入园门票, 我们第一天去是坐吊车游园, 从高处看动物, 我们共坐了两次, 其中一次幸运地坐到玻璃地板的吊车, 第二天是坐游览车游园, 近距离看动物, 在天气炎热的夏天, 这样游动物园就最适合不过了"
4,家庭,Culture39152532798,北京市,2019年7月8日,开了小孩的眼界,"月份, 广州的天气还是比较温暖的, 相比北京, 而且空气很湿润, 待了几天, 小孩干巴巴的脸蛋也变得细腻光滑了, 我们是报的团, 全程都是走的专门路线, 基本没有排队, 时间差不多都在空中的缆车上或者地上的观光车上, 看到了很多的动物, 每看到一个, 小孩都是非常惊喜和兴奋"
5,家庭,nicoknico,香港,2019年6月12日,挺像样的,"还是踏实地分享进园的小提示, 要租车吗, 近乎每位游客都会遇到司机的服务查询, 为何, 因为注意动物世界有一部分属于开放式园区, 游客可以选择自驾, 小火车或空中缆车游览, 小火车位于北门, 可以选择于北门站下穿梭巴士, 亦可由园区内步行前往, 空中缆车, 建议于南门进入, 直接坐, 环园线, 可以看遍整个动物世界, 有园区提供的车子吗, 没有的, 园区大吗, 看着园区地图, 已经知道一个下午是不可以途步走遍各园区, 如果阁下是酒店住户, 还是分两天安排行程吧, 租轮椅, 婴儿车, 门口已有租借服务, 要留意园区有近半都是斜坡, 遇上雨天, 体力不佳时要注意啊, 园内有电动车接戴服务, 可是, 值较低, 而且不会走出园区啊, 游园指南, 个人建议南门进场, 步行去北门, 途经大部分展览馆, 接着乘坐小火车, 再乘坐缆车返回南门, 必去景点, 只能说每馆展区都颇相似的, 就是喂吃活动比较特别, 例如长颈鹿, 至于儿童乐园及侏罗纪园区, 还是视乎天气而定, 如阁下有前往欢乐世界的计划, 大可跳过吧, 不过, 熊猫餐厅倒值得前往, 事关自助式餐厅内住着熊猫家庭, 而且属于冷气的室内展区, 是个不错的休息地点, 最后是, 要先吃饱吗, 园内倒真的有不少小吃店, 可计划, 边走边吃, 顺道于不同园区稍作休息, 至于餐厅, 还是抱平常心吧"
6,家庭,Monica2000,276,2019年6月2日,动物知识科普好地方,"长隆北门进, 玩小火车, 尽量做到第一排, 就是地面上有数字, 的, 车厢, 这样的话, 可以开阔的看身边的动物, 另外, 最好坐到车厢的右手边, 可以看到更多的动物, 坐缆车, 动物知识有人讲解, 就是太热了, 需要租儿童车, 如果没有儿童车, 实在走不下来的"
7,家庭,WIN350-500-700-883,1947,2019年5月28日,很大动物园,"这个动物园很大, 野生动物很多, 这里的特色是各种野生动物特色的景区, 同时可以试着自驾游参观野生动物, 就是价格比较贵"
8,家庭,Discover50547059764,广东省广州市,2019年5月15日,很开心的一次旅行,"小朋友很兴奋, 玩了一天都不累, 还好天气不错, 小火车游放养区印象最深, 小朋友也喜欢, 与动物近距离接触, 需要排长队"
9,家庭,peterpan198202,澳门,2019年4月26日,好玩,"宝宝很喜欢, 自己开车也能进入动物园, 还有喂食项目, 就是天气下雨了, 不过也还好, 没那么热了, 希望园里面的食物可以更好吃, 多些选择, 价格便宜些"
10,家庭,Tritz7,江苏省南京市,2019年3月19日,很棒的动物园,"其实, 年春节已经去过长隆野生动物世界了, 但当时儿子还小没带他, 今年带他一起来体验啦, 动物园可以自驾进园, 如果不开车需要做游览车, 不如自驾自由, 自驾完就步行进园, 园区很大, 动物种类很多, 而且有不少动物小宝宝, 孩子们很喜欢"
11,家庭,Enjoyhahaha,香港,2019年2月5日,动物种类多,"有不同的动物, 有缆车从高处观看动物, 还有小火车近距离观看动物, 在这里可以和孩子玩一整天, 还有表演观看, 十分有趣"
12,家庭,gnozh,江苏省南京市,2019年2月5日,普普通通,"交通便利, 很轻松就能到达, 园区内动物种类齐全, 无论是温顺的小动物还是凶猛的野兽都有, 但是所谓的, 猛兽, 一点野性都没有, 老虎就像猫一样, 没什么意思, 另外园区内的食物非常难吃, 有些根本没有烧熟"
13,家庭,Camper02107361696,北京市,2018年12月7日,可以玩一整天的动物园,"整个动物园很大, 里面可以做缆车游玩, 也可以自驾游玩, 我们选择了做缆车, 可以在空中看到动物园的全貌, 缆车离地面还是有些距离的, 而且还有很多树, 所以有的动物看不到, 只有在草原区可以看到一些大型动物, 比较特别的是考拉馆和熊猫馆, 都有动物的详细的介绍, 非常适合培养小孩子的兴趣, 我们全家是, 月份去的, 这个季节比较热, 而且多雨, 建议一定要带雨伞, 而且穿速干衣, 我们带了伞, 但是在坐缆车的时候遇上了大雨, 缆车虽然是有棚子的, 但是还是会漏雨, 我们还是被淋湿了, 但是雨来的快, 去的也快, 很快就停了, 不下雨的时候, 就会觉得很闷热, 出了很多汗, 我们也就是游览的大半个园区, 就已经很累了, 如果有条件的话, 建议买两天的通票, 好好游览一番"
14,家庭,hytrin730,Changhua City,2018年9月13日,带小朋友去的好地方,"从澳门转搭接驳车过去很方便, 小朋友看到很多动物很开心, 只可惜我们入远那天, 刚好当地学校校外教学, 所有游乐设施大排长龙, 园区餐点偏贵, 可以出来外面的美食区用餐"
15,家庭,Swpubobo,广东省广州市,2018年7月28日,"环境好, 服务尚可, 价格贵","以前, 门票就不便宜, 现在涨价到, 了, 价格更贵了, 一碗面, 一瓶矿泉水, 元, 消费不低, 园区环境很好, 服务人员很多, 游客很多的情况下, 还是能保持干净, 工作人员提供热情的服务, 如果对熊猫感兴趣, 可以去成都熊猫基地, 环境更好, 能看更多熊猫, 还有熊猫幼儿园, 价格便宜得多"
16,家庭,donguchai,香港,2018年6月12日,很热,"刚刚落了几天雨, 以为星期天天气会比较舒服, 但是也有三十多度, 里面动物都挺可爱, 最好就是有部分地方可以在车里看, 不用自己行"
17,家庭,iamjoanne319,香港,2018年4月9日,动物表演都很好看,"长隆野生动物世界里有很多不同品种的动物, 动物都很可爱, 地方好大, 要预充足的时间去游玩, 很适合一家大小一齐游玩, 动物表演都很好看, 地方都很干净"
18,家庭,Paradise62794973637,北京市,2018年2月27日,"动物不少, 但野生充分不足","应该说动物的种类不少, 但并非真正意义的, 野生动物园, 老虎成群结队地待在一起, 毫无生气, 真的是, 野生, 虎吗, 春节期间人满为患, 排队等小火车居然要一个多小时, 游客大吵大闹, 秩序很乱"
19,家庭,prehonor,102,2018年2月23日,"值得来, 想玩的好, 成本不低","点半入园, 已经人山人海, 缆车排队, 分钟, 火车排队, 分, 不购买, 基本没法玩, 小火车多坐几次, 强烈推荐, 缆车不推荐, 观感一般, 基本上非自驾入园, 逛不了几个景点, 值得去的就是熊猫餐厅与火车浏览, 下次租车自驾游再来"
20,家庭,yangchen21, ,2018年1月22日,"非常不错, 值得带孩子一去的地方","野生动物世界品种很多, 分为驾车观赏区, 和步行观赏区, 有非常多的动物, 很值得带小朋友们来看, 去的时候正好赶上周年庆免缆车费, 可以随便座"
21,家庭,nananananao,香港,2018年1月10日,值得一去的动物世界,"各式各样的动物都很齐全, 园内亦有很多座位让人休息, 未去之前以为会不够时间走完整个乐园, 我们九点去到大概四点半就走了, 不用担心时间不够"
22,家庭,lyers0609,香港,2017年12月27日,"园内动物生猛, 种类多, 很有观赏价值","当你去过长隆野生动物园, 你会感到它是超棒的, 我去过奥兰度的动物园王国, 不消半小时, 就想离开, 因那儿的动物死气沉沉, 可是长隆野生动物园园内动物生猛, 看老虎, 老虎走来走去, 又可以看工作人员喂老虎仔, 探访熊猫, 熊猫馆内有很多熊猫, 单看牠们吃竹枝, 傻气的样子, 也是一件乐事, 看猴子在遍山走来走去, 令人很开心, 湖内的鹅, 令人看得乐透, 家人不敢试空中缆车, 就有黠遗憾"
23,家庭,Navigator742742, ,2017年12月1日,大人小孩都喜欢,"对长隆野生动物园慕名已久, 去过之后觉得特别好玩, 动物很全, 有熊猫三兄弟, 有考拉, 有白虎, 游览方式也很多, 可以坐小火车去自驾区, 可以步行游览, 还能坐缆车游览, 还能看动物表演, 园内设施很方便, 厕所和休息的长椅到处可见, 餐厅也多, 饭店不拥挤"
24,家庭,hinnsk,澳门,2017年11月4日,十分好,"绝对适合带着小朋友的家庭, 地方很大园内动物品种根多, 我女儿玩得十分开心, 但因为我没有开车入园, 不能到自驾区近距离观赏, 如果大家要去我建议自驾进去"
25,家庭,gux2016, ,2017年10月30日,"值得一去的野生动物园, 服务也不错","门票, 建议提前买好, 可以经过淘宝买, 淘宝上卖的套票, 野生动物世界, 大马戏, 是, 个人, 元, 不分成人和小孩, 因为大马戏是没有儿童票的, 但是要至少提前一天购买, 如果是当天才决定经过淘宝买, 动物世界有家庭票, 大人, 小孩, 是, 大马戏就是, 一张票, 以上票价都是人民币, 交通, 广州地铁, 汉溪长隆, 站, 出口, 出站就直接进入园区, 然后根据指示搭乘穿梭巴士, 可以直达动物世界的南门, 设施及服务, 服务人员都很热情, 有问必答, 而且看得出服务人员在上岗前都受过针对性的训练, 对自己所在的岗位都很熟悉, 比如火烈鸟区的讲解员, 对火烈鸟的知识是娓娓道来, 如数家珍, 去过的厕所都很干净, 没有异味, 而且墙上贴的瓷砖缝一点黑色的霉斑都没有, 这一点是我完全没有想到的, 感觉厕所的洁净程度可以直追香港海洋公园, 甚至好过香港迪士尼, 园区的椅子和桌子都很干净, 应该是有员工不断在擦拭打扫, 园区很大, 如果完全步行是很累的, 年新修了缆车, 设置了, 个车站, 呈三角形布局, 路线有单程路线, 也有环绕园区路线, 可以从天空看尽园区风景, 北门也有免费的园区到缆车, 做成小火车样子, 车上有讲解员, 车会开过野生动物放养区, 可以近距离看长颈鹿, 羚羊, 斑马等等, 餐厅很多, 口味上看到有东南亚菜, 也有中餐, 美式餐"
26,家庭,Eat-Drink-Online,西班牙马德里,2017年10月29日,目前在国内看到的最好的野生动物园,"来之前说实话真没有抱着多大期待, 只是为了陪女儿, 前门真的很一般, 但和其他两家长龙欢乐世界, 以及长龙水上世界一样的提供免费存箱包的服务还是让人一到就有好感, 进到动物世界里面, 无论是动物的种类, 动物园的规划设计, 园内的清洁程度, 工作人员对待动物的态度, 以及对游人的管理, 特别是每一个动物区都有的餐厅, 给人留下深刻印象, 期间乘小火车在野生动物区穿行, 没有额外的收费, 还有专门人员的讲解, 非常人性化, 来自澳大利亚的考拉是第一次那么近距离的观望, 实在太可爱了, 一天的野生动物世界从早上开门进去, 一直到下午晚些时因为赶火车离开广州而不得不离开, 让女儿和我流连忘返, 记忆深刻, 非常值得一起的动物世界"
27,家庭,Passenger811092,广东省广州市,2017年8月21日,华南最大的动物园,"怎么说呢, 一个老广州, 以前的记忆存在于广州动物园, 但自从有了长隆, 整个动物世界就像大迁徙一样, 卷走了所有游客的目光, 长隆很大, 动物园是最老资格的园区, 开车在动物区中穿梭, 看着各种表演, 可以与树熊, 袋鼠亲密接触, 大熊猫还有, 多只, 差不多可以媲美成都熊猫世界了, 白老虎白狮子更不用说了, 出了长隆, 其他地方就不用想了, 所以, 长久不衰有他的道理的"
28,家庭,clint009,天津地区,2017年8月9日,缆车不如小火车,"因为主要玩的是野生动物园, 所以一早过去, 先排队体验了缆车, 但是由于树木比较繁茂, 在缆车上看到的东西很少, 下午坐的游览小火车, 感觉很棒, 和动物近距离接触, 感受和体验都比缆车要好"
29,家庭,Trail34576807088,云南省昆明市,2017年7月28日,不想再来,"有小孩的家庭可以来一次, 可我们是南方的, 在这感觉除了热以外还是热, 园里食物太贵, 是贵得离谱, 还不让带食物进园, 进园时检查食物就像查毒品那样严"
30,家庭,54684,法国巴黎,2017年7月12日,好玩,"广州长隆动物世界是我一直都想来的地方, 这次终于可以来见识一下了, 非常的好玩, 特别是国宝熊猫, 超级可爱哦, 还是第一次见到呢, 还看见了很多可爱的小动物, 么么哒"
31,家庭,Mobile03438576047,广西壮族自治区玉林市,2017年7月12日,种类丰富,"动物种类丰富, 都挺全面的, 还有全球少有的濒危动物, 在长隆基本就可以说看到过世界的动物了, 园内还提供餐饮, 有事游览累了饿了都可以买, 就是太贵了"
32,家庭,STKH3,香港,2017年4月21日,可以驾车与动物近距离接触,"里面可以自驾或坐他们的巴士, 我很建议自驾去参观, 因为你可以近距离地接触他们, 也可以喂他们, 我更摸了一些动物, 里面也有一些表演, 也是不错看"
33,家庭,Dream810118, ,2017年4月11日,"管理良好, 一流专业的动物园","本来没有对长隆野生动物园期待太多, 但来过以后, 感觉非常棒, 放在国际上, 这也是一流顶尖的动物园, 完全不输给圣地牙哥动物园或新加坡动物园, 动物活动空间大, 养的很自然健康, 没有见到病恹恹或貌似忧郁的动物, 动物表演精彩绝轮, 且没有要求动物作它们本性不会作的事情, 到广州必游的景点"
34,家庭,Wander01662451797,江苏省南京市,2017年3月16日,游长隆动物园,"去的时候刚好下雨, 而且不给带吃的进去, 里面很大, 有好多个动物厅, 游小火车的时候不给喂动物, 只能在步行区里, 喂大象和长颈鹿"
35,家庭,pigshanhk,香港,2017年3月5日,一日可能逛不完,"很干净, 没什么臭味, 相对国内其他动物园, 这家的动物明显比较健康, 而且有很多不易看到的动物, 看得出工作人员照顾动物也很用心, 相较之下国内其他管理不善的动物园应该要好好检讨一下, 为动物福祉着想啊"
36,家庭,Go16540022712,广东省广州市,2017年2月28日,家庭出游,"会开车的话建议自己开车进去逛, 更自由和随意, 我们是去到坐园内游览车游玩, 不可以随时停下来玩, 而且走路的地方有老人小孩的话会很累"
37,家庭,liuzhenwei,上海市,2017年2月23日,"整体感觉一般, 园内表演有创意","园内的表演很有创意, 看了河马剧场的演出很不错, 但园内动物种类不是很多, 园区也不大, 吃饭消费也比价贵, 整体感觉性价比不是很高"
38,家庭,crazyross,广东省广州市,2017年2月20日,还会再来,"带小朋友去长隆野生动物园是非常棒的选择, 设施好, 动物多, 节目丰富, 可以在园内坐穿梭小火车近距离观看动物, 不足之处是坐小火车不会在动物旁边停留, 喜欢多一点接触动物的可以选择给车买一张票, 元人民币, 自驾进去, 我们从北门进, 一直玩到南门, 再从南门买缆车票回北门, 这样就轻松一些, 唯一不好的是, 园内餐厅的东西贵且不好吃"
39,家庭,lukeluo,江苏省镇江市,2017年2月17日,难得淅淅小雨中的长隆亲子游,"春节后选择了千里之外的广州长隆野生动物世界, 原因很多, 主要还是女儿小雅的天天唱歌, 爸爸, 爸爸, 我们去哪里啊, 游览时间, 看全一天肯定是不够的, 必须要有所取舍, 我们是开园进, 闭园出, 还是意犹未尽, 小火车一定要坐, 近距离观看野生动物的绝好机会, 早点去排队吧, 午餐刚刚结束, 天空竟下起了小雨, 却是别有一番风味, 非常难得, 小雅最喜欢考拉与大象, 白虎了, 与它们的互动最多, 离开的时候还依依不舍呢"
40,家庭,knoxhercules,235,2017年2月17日,鸡肋,"食之无味弃之可惜, 白老虎和大熊猫非常多, 一个场馆后就有一个商店卖玩具, 简直无所不用其极, 食物真心不好吃, 门票价格如果便宜些还是值得带孩子来看看, 顺便说一句大马戏没有什么精彩的动物表演"
41,家庭,Fearless60982135332,云南省昆明市,2017年2月4日,拥挤不堪的节前动物园,"为了走住客通道专门去住长隆酒店我的天啊居然没有还是要花钱买额外的动物园门票门票在携程上买的然后需要兑换在自助售票机然后排队, 分钟进去拥挤不堪进去之后哪儿哪儿都是人还要花, 押金租一个, 的小推车从早走到晚基本走了十多公里有孩子的一定要租推车, 园区内餐厅价格奇贵无比并且还排队没座位一份乌冬面两个汉堡两杯饮料, 园区内看表演也是打仗非洲丛林花果山探秘和大象乐园去晚了人家就关门不让进就要等下午的另一场, 个人觉得可以有选择性地看还有, 电影也是晚了就关门, 在门口拿地图很必要, 其实目前里面有三条缆车很值得一坐只开了一条路过天鹅湖的不错的, 其实不是所有动物都要去看的有选择性的就好, 白虎表演还是要看看的"
42,家庭,525archiek,中国,2017年1月20日,跟想象还是有差距,"园景比较大, 做喜欢做小火车游园, 但必须要早点去, 因为排队时间是挺长的, 进入猛兽区能看到大型动物, 它们基本在睡觉, 其它时间就是喂喂猴子看看表演, 一般吧"
43,家庭,hihollylin, ,2017年1月4日,很干净舒适的动物园,"强烈推荐要先搭车到北门乘坐, 可以近距离观看野生园区内的动物, 非常有趣, 下车后再延路, 下坡行走, 走回南门方向, 轻松很多, 若从南门往北门走是上坡路段, 对有小孩子的家庭会显得吃力, 园区内到处都有休息的小吃店或餐厅, 以及干净卫生的厕所, 带着老人家和小孩走都很方便, 一个餐大约是, 其他的小吃也不算贵, 工作人员服务态度都很好, 适逢大假人潮也很有秩序, 园区安排的很好, 这虽然是有些年纪的动物园, 但是各项设施维护的很好, 也因此边走在大树阴下逛, 亦不觉得累, 在凉爽天气逛动物园真的很舒服又不怕晒, 园区也打扫的很干净, 没有什么异味, 最值得一提的是厕所真的很干净"
44,家庭,lhwayne,广东省广州市,2016年11月17日,肯定是广东省最大的动物园,"这里是老少咸宜的活动地点, 如果你来广州玩还带上小孩的话, 非常建议来这里玩, 分了好多园区, 按飞禽走兽, 按科目, 应有尽有, 连灭绝的恐龙都有喔, 当然都是电动模型啦"
45,家庭,1134018170,海南省三亚市,2016年11月15日,"工作人员超, 景观好, 近距离接触动物","小朋友的各种问题工作人员都能耐心解答, 态度超友善哦, 野生动物区域, 讲解员不是背诵讲解词的哦, 随机看见游客身边的动物就可以很详细的介绍哒, 体验很好"
46,家庭,DayTrip62172057966,广东省广州市,2016年10月21日,非常好,"长隆汉溪地铁站出来就有取票机和接驳车, 很方便, 一进院就感觉进了热带雨林, 绿树成荫, 各种可爱的小动物依次分布其中, 最高兴是看到了可爱的树懒, 一直在睡觉, 好搞笑, 带小孩的家长记得带推车或者租一个, 园区太大, 抱着走一圈手要断的节奏"
