,旅行者类型,昵称,地区,时间,标题,评论
0,家庭,Dream810118, ,2018年2月20日,"很适合幼童的乐园, 有长隆一贯的水准","长隆飞鸟乐园最令人惊艳的是鸟类不是关在笼子中, 也没有用锁链绑住, 但鸟类就是没有飞走, 所以可以近距离观赏鸟类自由自在走走跳跳的样子, 另外还有刚孵化的小鸟, 很可爱, 也较少见, 其他动物, 像鳄鱼, 蛇类, 就还好, 设施较适合幼童, 但环境维护的很好, 有长隆一贯的水准"
1,家庭,wenshao, ,2017年5月30日,鳄鱼与鸟,"广州鳄鱼公园, 现在改名, 长隆飞鸟乐意, 这里栖息著多种珍稀鸟类, 爬行动物种类也多, 以鳄鱼数量最多, 鳄鱼基本上都在静静的享受着阳光浴, 能和鸟近距离接触, 看着鸟儿跑呀飞呀, 不胜乐乎, 这里地方大, 人不多, 环境美, 优哉游哉的闲逛, 人气最多的地方是动物表演时间, 只是觉得被圈养的动物, 有勃天理, 让他们回归自然, 我们看到的将是动物至真的一面"
2,家庭,1026307871,广东省广州市,2016年12月26日,现在改名叫飞鸟乐园了,"鳄鱼公园现在改名叫飞鸟乐园了, 有很多小动物可以看, 还可以近距离接触小动物, 每天都有很多场的表演, 鳄作剧, 这个表演一般般, 百鸟朝飞最好看"
3,家庭,is04zzc,广东省广州市,2016年12月23日,"好多飞鸟, 好多鳄鱼","进门就是一条大大的鳄鱼懒洋洋的在水箱中欢迎游客的光临, 各种动物表演非常精彩, 可以感受人与动物的和谐, 还有种种奇异的小动物, 非常好的游玩体验"
4,家庭,1134018170,海南省三亚市,2016年11月15日,距离跟动物接触,"各种飞鸟在你身边哦, 没有鸟笼, 没有脚链, 让你感受真正的自然魅力, 很多可以喂食的地方, 鹦鹉吃瓜子, 小朋友超爱, 用奶瓶喂小猪宝宝喝奶, 让小朋友很有爱心呢, 工作人员也是非常专业, 耐心的给小朋友们讲解"
5,家庭,johnnykwan11,香港,2016年3月29日,"很多鳄鱼, 很好玩","门票, 块, 非常超值, 有很多大大小小的鳄鱼, 好萌的, 可以喂他们吃东西, 但是不要乱喂, 他们都是有生命的, 里面的鳄鱼表演都很出色"
6,家庭,Curious38673990911,广东省广州市,2016年3月10日,适合带孩子来,"鳄鱼公园位置偏僻一点, 如果不是有车或者长隆的班车, 过去确实不方便, 孩子很喜欢去, 主要喜欢喂鸽子, 然后门票价格现在相对还算优惠, 里面有鳄鱼表演, 小猪跳水, 夏天还可以让孩子捞鱼, 额外收费, 里面还有一片适合孩子玩的沙池和户外拓展的设施, 每次来都玩不够"
7,家庭,ateneoben,广东省广州市,2015年11月8日,不错的公园,"鳄鱼公园交通挺方便, 可以乘地铁到二号线会江站, 有接驳车送到公园门口, 公园比较有特色的是非常多鳄鱼, 也有很多乌龟, 另外, 几个表演也都值得看, 包括飞禽表演, 爬行动物展示, 小猪跳水等, 小孩子都比较喜欢"
8,独自旅游,DayTrip62172057966,广东省广州市,2016年10月21日,亲子活动好去处,"现在改名叫飞鸟乐园了, 园区不大, 绿树成荫, 溜娃好去处啊, 有很多鸟类, 全都可以近距离亲密接触的, 有很多表演, 最赞是百鸟朝歌, 空中时不时飞来一群美丽的鸟儿, 看呆了, 园区进门会检查食物, 最好拿衣服什么的盖一下, 每人可以带, 毫升的水进去, 里面的食物和水都非常贵"
9,好友,norman530,重庆市,2016年1月3日,鳄鱼公园,"貌似现在的鳄鱼公园不少, 广州鳄鱼公园算比较不错的一个了, 除了鳄鱼, 动物种类比较丰富, 还有精彩的表演, 有机会体验一下也不错了"
